"Gene","1"
"FABP4","up"
"ADIPOQ","up"
"PPARG","up"
"LIPE","up"
"DGAT1","up"
"LPL","up"
"CPT2","up"
"CD36","up"
"GPAM","up"
"ADIPOR2","up"
"ACAA2","up"
"ETFB","up"
"ACOX1","up"
"ACADM","up"
"HADH","up"
"IDH1","up"
"SORBS1","up"
"ACADS","up"
"UCK1","up"
"SCP2","up"
"DECR1","up"
"CDKN2C","up"
"TALDO1","up"
"TST","up"
"MCCC1","up"
"PGM1","up"
"REEP5","up"
"BCL2L13","up"
"SLC25A10","up"
"ME1","up"
"PHYH","up"
"PIM3","up"
"YWHAG","up"
"NDUFAB1","up"
"GPD2","up"
"ADIG","up"
"ECHS1","up"
"QDPR","up"
"CS","up"
"ECH1","up"
"SLC25A1","up"
"ACADL","up"
"TOB1","up"
"GRPEL1","up"
"CRAT","up"
"GBE1","up"
"SDPR","up"
"SCARB1","up"
"PEMT","up"
"CHCHD10","up"
"AK2","up"
"APOE","up"
"UQCR10","up"
"TANK","up"
"ANGPTL4","up"
"ACO2","up"
"FAH","up"
"ACLY","up"
"IFNGR1","up"
"SLC5A6","up"
"JAGN1","up"
"EPHX2","up"
"IDH3G","up"
"GPX3","up"
"ELMOD3","up"
"ORM1","up"
"RETSAT","up"
"ESRRA","up"
"HIBCH","up"
"SUCLG1","up"
"STAT5A","up"
"ITGA7","up"
"MRAP","up"
"PLIN2","up"
"CYC1","up"
"ALDH2","up"
"RNF11","up"
"ALDOA","up"
"SULT1A1","up"
"DDT","up"
"SDHB","up"
"CD151","up"
"SLC27A1","up"
"BCKDHA","up"
"C3","up"
"LEP","up"
"ADCY6","up"
"ELOVL6","up"
"LTC4S","up"
"SPARCL1","up"
"FAM82A2","up"
"MTCH2","up"
"ANKRD57","up"
"SLC1A5","up"
"CMPK1","up"
"REEP6","up"
"NDUFA5","up"
"FZD4","up"
"DRAM2","up"
"MGST3","up"
"ATP1B3","up"
"RETN","up"
"STOM","up"
"ESYT1","up"
"GHITM","up"
"DNAJC15","up"
"GADD45A","up"
"VEGFB","up"
"PFKL","up"
"COQ3","up"
"OBFC2A","up"
"CYP4B1","up"
"PPM1B","up"
"ARAF","up"
"PTRF","up"
"COL4A1","up"
"IMMT","up"
"DHRS7","up"
"COL15A1","up"
"NMT1","up"
"COQ5","up"
"LAMA4","up"
"AGPAT3","up"
"BAZ2A","up"
"IDH3A","up"
"LIFR","up"
"PREB","up"
"PTGER3","up"
"GPHN","up"
"PFKFB3","up"
"GPX4","up"
"SSPN","up"
"SQRDL","up"
"MOSC2","up"
"DLD","up"
"ITIH5","up"
"CD302","up"
"ATL2","up"
"AGPAT6","up"
"LPCAT3","up"
"TKT","up"
"UQCRC1","up"
"CAT","up"
"OMD","up"
"DLAT","up"
"MRPL15","up"
"RIOK3","up"
"RTN3","up"
"CHUK","up"
"G3BP2","up"
"SDHC","up"
"SAMM50","up"
"ARL4A","up"
"SNCG","up"
"PDCD4","up"
"COQ9","up"
"APLP2","up"
"SOD1","up"
"PTCD3","up"
"PHLDB1","up"
"ENPP2","up"
"HSPB8","up"
"AIFM1","up"
"CCNG2","up"
"PPP1R15B","up"
"MDH2","up"
"ABCA1","up"
"COX7B","up"
"MYLK","up"
"COX8A","up"
"DHRS7B","up"
"FAM73B","up"
"MGLL","up"
"ITSN1","up"
"DHCR7","up"
"RREB1","up"
"CMBL","up"
"UBC","up"
"ATP5O","up"
"PRDX3","up"
"DBT","up"
"NDUFS3","up"
"NKIRAS1","up"
"RAB34","up"
"CIDEA","up"
"UQCRQ","up"
"PEX14","up"
"BCL6","up"
"COX6A1","up"
"DNAJB9","up"
"MAP4K3","up"
"ANGPT1","up"
"UBQLN1","up"
"NDUFB7","up"
"SLC19A1","up"
"ABCB8","up"
"PQLC3","up"
"POR","up"
"UCP2","up"
"UQCR11","up"
