"Gene","4"
"VCAN","up"
"POSTN","up"
"FSTL1","up"
"LRPAP1","up"
"STC1","up"
"LPL","up"
"VEGFA","up"
"PF4","up"
"THBD","up"
"FGFR1","up"
"TNFRSF21","up"
"CCND2","up"
"COL5A2","up"
"ITGAV","up"
"SERPINA5","up"
"KCNJ8","up"
"APP","up"
"JAG1","up"
"COL3A1","up"
"SPP1","up"
"NRP1","up"
"OLR1","up"
"PDGFA","up"
"PTK2","up"
"SLCO2A1","up"
"PGLYRP1","up"
"VAV2","up"
"S100A4","up"
"MSX1","up"
"VTN","up"
"TIMP1","up"
"APOH","up"
"PRG2","up"
"JAG2","up"
"LUM","up"
"CXCL6","up"
