"Gene","5"
"ACTN1","up"
"CLDN7","up"
"ACTN3","up"
"CLDN19","up"
"DLG1","up"
"TJP1","up"
"COL17A1","up"
"PVRL1","up"
"CLDN9","up"
"CDH3","up"
"CTNND1","up"
"CDH1","up"
"LIMA1","up"
"VCL","up"
"SHROOM2","up"
"PVRL3","up"
"PVRL2","up"
"CLDN14","up"
"PTPRC","up"
"THY1","up"
"VASP","up"
"ITGB1","up"
"ZYX","up"
"ACTN4","up"
"CLDN4","up"
"CADM3","up"
"ITGA3","up"
"NF2","up"
"B4GALT1","up"
"NEXN","up"
"CDH6","up"
"ADAM15","up"
"PTK2","up"
"HADH","up"
"LAMB3","up"
"CLDN11","up"
"CDH4","up"
"IRS1","up"
"SORBS3","up"
"CLDN8","up"
"EVL","up"
"CLDN15","up"
"THBS3","up"
"PVRL4","up"
"JAM3","up"
"CDH11","up"
"ITGB4","up"
"RASA1","up"
"AKT2","up"
"TMEM8B","up"
"LAMA3","up"
"RSU1","up"
"ICAM1","up"
"CLDN18","up"
"GTF2F1","up"
"TSC1","up"
"LAMC2","up"
"NRAP","up"
"CTNNA1","up"
"CD99","up"
"FSCN1","up"
"COL16A1","up"
"GNAI2","up"
"TGFBI","up"
"MPP5","up"
"JUP","up"
"ACTN2","up"
"INSIG1","up"
"LAYN","up"
"PFN1","up"
"CNN2","up"
"TAOK2","up"
"AMIGO2","up"
"MDK","up"
"INPPL1","up"
"CLDN6","up"
"ARPC2","up"
"SRC","up"
"PBX2","up"
"MAPK14","up"
"MAP4K2","up"
"PTEN","up"
"CALB2","up"
"CNTN1","up"
"TSPAN4","up"
"VCAN","up"
"CDH8","up"
"ATP1A3","up"
"EPB41L2","up"
"MYL9","up"
"SPEG","up"
"ADRA1B","up"
"SYK","up"
"CADM2","up"
"ALOX15B","up"
"CX3CL1","up"
"MYH10","up"
"DMP1","up"
"CDSN","up"
"MAPK13","up"
"MYL12B","up"
"RAC2","up"
"FBN1","up"
"DSC1","up"
"CD34","up"
"ICAM4","up"
"MSN","up"
"MAPK11","up"
"ACTC1","up"
"TRAF1","up"
"CRB3","up"
"ITGA2","up"
"ITGA10","up"
"BAIAP2","up"
"ARHGEF6","up"
"ACTG1","up"
"MVD","up"
"PDZD3","up"
"ADAM9","up"
"PCDH1","up"
"SLIT2","up"
"KRT31","up"
"SGCE","up"
"GNAI1","up"
"PIK3CB","up"
"NLGN2","up"
"YWHAH","up"
"PARVA","up"
"CRAT","up"
"ADAMTS5","up"
"AMH","up"
"EGFR","up"
"ICAM2","up"
"CD274","up"
"CDH15","up"
"SHC1","up"
"MPZL2","up"
"WNK4","up"
"NFASC","up"
"PIK3R3","up"
"SDC3","up"
"SIRPA","up"
"GRB7","up"
"FLNC","up"
"PARD6G","up"
"COL9A1","up"
"NRXN2","up"
"ZAK","up"
"SLC30A3","up"
"RHOF","up"
"BMP1","up"
"MMP2","up"
"ICAM5","up"
"VWF","up"
"MYH9","up"
"CD209","up"
"VCAM1","up"
"DHX16","up"
"ACTG2","up"
"NEGR1","up"
"NF1","up"
"ADAM23","up"
"PLCG1","up"
"KCNH2","up"
"CERCAM","up"
"NRTN","up"
"IKBKG","up"
"DSC3","up"
"ACTB","up"
"TUBG1","up"
"PPP2R2C","up"
"HRAS","up"
"MMP9","up"
"TNFRSF11B","up"
"PKD1","up"
"CDK8","up"
"FYB","up"
"AMIGO1","up"
"CD276","up"
"GAMT","up"
"NLGN3","up"
"SKAP2","up"
"RRAS","up"
"CAP1","up"
"EXOC4","up"
"ACTA1","up"
"TIAL1","up"
"LDLRAP1","up"
"VAV2","up"
"AKT3","up"
"SYMPK","up"
"STX4","up"
"PECAM1","up"
"MADCAM1","up"
"ITGA9","up"
"CD86","up"
"TRO","up"
"CLDN5","up"
"MPZL1","up"
"WASL","up"
