"Gene","6"
"B4GALT1","up"
"RHCG","up"
"MAL","up"
"LYPD3","up"
"PKHD1","up"
"ATP6V0A4","up"
"AIM1","up"
"SHROOM2","up"
"SRPX","up"
"MDGA1","up"
"TMEM8B","up"
"THY1","up"
"PCSK9","up"
"EPHB4","up"
"DCBLD2","up"
"GHRL","up"
"LYN","up"
"GAS1","up"
"FLOT2","up"
"PLAUR","up"
"AKAP7","up"
"ATP8B1","up"
"EFNA5","up"
"SLC34A3","up"
"APP","up"
"GSTM3","up"
"HSPB1","up"
"SLC2A4","up"
"IL2RB","up"
"RTN4RL1","up"
"NCOA6","up"
"SULF2","up"
"ADAM10","up"
"BRCA1","up"
"GATA3","up"
"AFAP1L2","up"
"IL2RG","up"
"CD160","up"
"ADIPOR2","up"
"SLC22A12","up"
"NTNG1","up"
"SCUBE1","up"
"CX3CL1","up"
"CROCC","up"
