"Gene","7"
"CASP3","up"
"CASP9","up"
"DFFA","up"
"CASP7","up"
"CFLAR","up"
"BIRC3","up"
"PMAIP1","up"
"CASP8","up"
"JUN","up"
"BCL2L11","up"
"MCL1","up"
"IL1B","up"
"SPTAN1","up"
"DIABLO","up"
"BAX","up"
"BIK","up"
"IL1A","up"
"BID","up"
"CDKN1A","up"
"GADD45A","up"
"DDIT3","up"
"CDKN1B","up"
"TNF","up"
"GSN","up"
"TNFSF10","up"
"CASP6","up"
"SQSTM1","up"
"FASLG","up"
"EGR3","up"
"CD44","up"
"FAS","up"
"IL18","up"
"IGFBP6","up"
"PRF1","up"
"DAP","up"
"CCND1","up"
"BTG3","up"
"F2R","up"
"SATB1","up"
"BNIP3L","up"
"CASP4","up"
"TNFRSF12A","up"
"CREBBP","up"
"RHOB","up"
"GPX3","up"
"PDGFRB","up"
"TSPO","up"
"CCND2","up"
"XIAP","up"
"TIMP1","up"
"CTNNB1","up"
"IRF1","up"
"HSPB1","up"
"ADD1","up"
"TIMP2","up"
"BTG2","up"
"TIMP3","up"
"LEF1","up"
"CASP1","up"
"GPX1","up"
"BCL10","up"
"IGF2R","up"
"CDC25B","up"
"AIFM3","up"
"CD38","up"
"PPP3R1","up"
"HGF","up"
"CLU","up"
"ATF3","up"
"LGALS3","up"
"LUM","up"
"LMNA","up"
"GADD45B","up"
"CDK2","up"
"IFNB1","up"
"RETSAT","up"
"SMAD7","up"
"SOD1","up"
"PTK2","up"
"ENO2","up"
"HMOX1","up"
"IER3","up"
"BCL2L10","up"
"CD2","up"
"GCH1","up"
"MMP2","up"
"VDAC2","up"
"TAP1","up"
"PLAT","up"
"IFNGR1","up"
"APP","up"
"BRCA1","up"
"ROCK1","up"
"PSEN1","up"
"DCN","up"
"PSEN2","up"
"SOD2","up"
"BMF","up"
"EREG","up"
"KRT18","up"
"TGFB2","up"
"RELA","up"
"WEE1","up"
"RARA","up"
"CD14","up"
"CD69","up"
"PEA15","up"
"DNAJC3","up"
"CASP2","up"
"CTH","up"
"PLCB2","up"
"BMP2","up"
"HMGB2","up"
"LPPR4","up"
"H1F0","up"
"TGFBR3","up"
"EBP","up"
"TXNIP","up"
"ANKH","up"
"RHOT2","up"
"CYLD","up"
"GSTM1","up"
"GSR","up"
"BGN","up"
"BCL2L1","up"
"GNA15","up"
"MGMT","up"
"PPT1","up"
"F2","up"
"IL6","up"
"SC5DL","up"
"IFITM3","up"
"RNASEL","up"
"EMP1","up"
"CAV1","up"
"DNM1L","up"
"ANXA1","up"
"TOP2A","up"
"ISG20","up"
"SLC20A1","up"
"MADD","up"
"PPP2R5B","up"
"BCAP31","up"
"ERBB3","up"
"NEDD9","up"
"SAT1","up"
"PDCD4","up"
"BCL2L2","up"
"FEZ1","up"
"ERBB2","up"
"DNAJA1","up"
"DAP3","up"
"DPYD","up"
"NEFH","up"
"PAK1","up"
"FDXR","up"
"GPX4","up"
"ETF1","up"
"CCNA1","up"
"GUCY2D","up"
"AVPR1A","up"
