"Gene","11"
"C2","up"
"C1S","up"
"CFB","up"
"C1R","up"
"SERPINE1","up"
"MMP14","up"
"SERPING1","up"
"CTSL1","up"
"F5","up"
"MMP13","up"
"F7","up"
"CTSS","up"
"LGMN","up"
"PLG","up"
"C1QA","up"
"CASP1","up"
"GZMA","up"
"ADAM9","up"
"CALM3","up"
"C1QC","up"
"TIMP1","up"
"DPP4","up"
"KLK1","up"
"KLKB1","up"
"CD59","up"
"CR2","up"
"MMP15","up"
"LAP3","up"
"SPOCK2","up"
"F10","up"
"CTSB","up"
"SERPINA1","up"
"CTSO","up"
"CD40LG","up"
"CBLB","up"
"PDP1","up"
"C4BPB","up"
"PLEK","up"
"GP9","up"
"PLAUR","up"
"C3","up"
"F2","up"
"CASP4","up"
"STX4","up"
"CTSC","up"
"USP15","up"
"CR1","up"
"DUSP6","up"
"SERPINB2","up"
"GPD2","up"
"CFH","up"
"FN1","up"
"CD36","up"
"CA2","up"
"PSMB9","up"
"APOBEC3G","up"
"FCN1","up"
"GZMK","up"
"PDGFB","up"
"CLU","up"
"CASP10","up"
"LRP1","up"
"CTSD","up"
"S100A9","up"
"WAS","up"
"BRPF3","up"
"PLAT","up"
"CDA","up"
"MT3","up"
"CASP7","up"
"PRSS36","up"
"PFN1","up"
"GZMB","up"
"RNF4","up"
"ZEB1","up"
"CASP5","up"
"IRF1","up"
"PGCP","up"
"CDK5R1","up"
"ATOX1","up"
"PIK3CA","up"
"TMPRSS6","up"
"CPM","up"
"RCE1","up"
"CALM1","up"
"DOCK9","up"
"KYNU","up"
"RASGRP1","up"
"USP14","up"
"LCP2","up"
"GP1BA","up"
"KIF2A","up"
"GNB4","up"
"LCK","up"
"OLR1","up"
"PREP","up"
"SEPX1","up"
"LTA4H","up"
"ZFPM2","up"
"LYN","up"
"ACTN2","up"
"SIRT6","up"
"APOC1","up"
"PRKCD","up"
"ITGAM","up"
"DGKH","up"
"LTF","up"
"MAFF","up"
"KCNIP2","up"
"PCLO","up"
"DOCK10","up"
"SH2B3","up"
"RABIF","up"
"SRC","up"
"HPCAL4","up"
"CD46","up"
"PRDM4","up"
"GNAI3","up"
"C9","up"
"PPP2CB","up"
"IRF2","up"
"FYN","up"
"JAK2","up"
"PLA2G4A","up"
"PRCP","up"
"USP8","up"
"RHOG","up"
"L3MBTL4","up"
"LAMP2","up"
"PIM1","up"
"CXCL1","up"
"F3","up"
"GNAI2","up"
"CASP9","up"
"XPNPEP1","up"
"PLSCR1","up"
"IRF7","up"
"CD55","up"
"HSPA5","up"
"GNB2","up"
"DYRK2","up"
"PLA2G7","up"
"S100A12","up"
"GRB2","up"
"PHEX","up"
"GNGT2","up"
"DOCK4","up"
"MMP12","up"
"KCNIP3","up"
"FDX1","up"
"TIMP2","up"
"MMP8","up"
"FCER1G","up"
"ZFYVE20","up"
"ANXA5","up"
"CTSL2","up"
"GCA","up"
"EHD1","up"
"PRSS3","up"
"COL4A2","up"
"CSRP1","up"
"PIK3R5","up"
"SERPINC1","up"
"ANG","up"
"APOBEC3F","up"
"GATA3","up"
"DUSP5","up"
"CASP3","up"
"USP16","up"
"CP","up"
"PSEN1","up"
"LIPA","up"
"PCSK9","up"
"DGKG","up"
"GNG2","up"
"ME1","up"
"GMFB","up"
"SCG3","up"
"PPP4C","up"
"CCL5","up"
"CTSH","up"
"F8","up"
"APOA4","up"
"IL6","up"
"AKAP10","up"
"ERAP2","up"
"VCPIP1","up"
"HSPA1A","up"
"RAF1","up"
"NOTCH4","up"
"ADRA2B","up"
"CEBPB","up"
"HNF4A","up"
"LGALS3","up"
"TNFAIP3","up"
"CDH13","up"
"ITIH1","up"
"TFPI2","up"
"PIK3CG","up"
"S100A13","up"
