"Gene","12"
"POLR2H","up"
"POLR2A","up"
"POLR2G","up"
"POLR2E","up"
"POLR2J","up"
"POLR2F","up"
"POLR2C","up"
"POLR2K","up"
"GTF2H3","up"
"POLR2D","up"
"ERCC3","up"
"DDB2","up"
"POLR1C","up"
"XPC","up"
"PCNA","up"
"POLR2I","up"
"SUPT4H1","up"
"POLD3","up"
"POLR3GL","up"
"POLR3C","up"
"GTF2B","up"
"POLR1D","up"
"NCBP2","up"
"RDBP","up"
"GTF2F1","up"
"ERCC5","up"
"LIG1","up"
"ERCC1","up"
"ERCC4","up"
"POLD4","up"
"COBRA1","up"
"RFC2","up"
"ELL","up"
"TAF10","up"
"RRM2B","up"
"SUPT5H","up"
"RPA3","up"
"SNAPC5","up"
"SSRP1","up"
"RFC3","up"
"RPA2","up"
"TCEB3","up"
"TAF12","up"
"TH1L","up"
"TAF13","up"
"TAF6","up"
"TAF9","up"
"GTF2A2","up"
"VPS37D","up"
"NME1","up"
"RNMT","up"
"ERCC2","up"
"POLE4","up"
"VPS37B","up"
"NT5C3","up"
"SNAPC4","up"
"AAAS","up"
"ZNRD1","up"
"RFC4","up"
"ITPA","up"
"POM121","up"
"BRF2","up"
"RFC5","up"
"SAC3D1","up"
"CLP1","up"
"NME4","up"
"PRIM1","up"
"VPS28","up"
"TSG101","up"
"USP11","up"
"TAF1C","up"
"TARBP2","up"
"POLH","up"
"CETN2","up"
"POLD1","up"
"CANT1","up"
"PDE4B","up"
"DGCR8","up"
"RAD51","up"
"SURF1","up"
"PNP","up"
"ADA","up"
"NME3","up"
"GTF3C5","up"
"NT5C","up"
"AK1","up"
"GTF2H1","up"
"HCLS1","up"
"APRT","up"
"ERCC8","up"
"IMPDH2","up"
"POLB","up"
"SDCBP","up"
"SF3A3","up"
"DAD1","up"
"UPF3B","up"
"GUK1","up"
"TP53","up"
"ADRM1","up"
"SEC61A1","up"
"POLA2","up"
"FEN1","up"
"ZNF707","up"
"NUDT9","up"
"PDE6G","up"
"TYMS","up"
"BCAP31","up"
"DDB1","up"
"NFX1","up"
"RAD52","up"
"ADCY6","up"
"ARL6IP1","up"
"DGUOK","up"
"POLL","up"
"SMAD5","up"
"MPG","up"
"DUT","up"
"POLA1","up"
"EIF2C4","up"
"RALA","up"
"ZWINT","up"
"BCAM","up"
"TK2","up"
"CSTF3","up"
"GTF2H5","up"
"HPRT1","up"
"BOLA2","up"
"GPX4","up"
"BRP44","up"
"CDA","up"
"THOC4","up"
"MRPL40","up"
"NPR2","up"
"REV3L","up"
"EDF1","up"
"DFNA5","up"
"TMED2","up"
"STX3","up"
"RAE1","up"
"UMPS","up"
"EIF1B","up"
"AK3","up"
"NUDT21","up"
"RBX1","up"
"SRSF6","up"
"GMPR2","up"
"DCTN4","up"
"COX17","up"
"CMPK2","up"
"CCNO","up"
