"Gene","16"
"TFF1","up"
"SLC9A3R1","up"
"TPD52L1","up"
"PRSS23","up"
"CA12","up"
"PDZK1","up"
"ANXA9","up"
"CELSR2","up"
"TJP3","up"
"PGR","up"
"RET","up"
"MYB","up"
"TPBG","up"
"EGR3","up"
"ARL3","up"
"OLFM1","up"
"NPY1R","up"
"SCNN1A","up"
"XBP1","up"
"AREG","up"
"IL17RB","up"
"NRIP1","up"
"ASS1","up"
"TFF3","up"
"FKBP4","up"
"SLC27A2","up"
"SEMA3B","up"
"GPER","up"
"LLGL2","up"
"AGR2","up"
"KRT19","up"
"WISP2","up"
"BLVRB","up"
"FLNB","up"
"PDCD4","up"
"CALCR","up"
"IGFBP4","up"
"DNAJC12","up"
"TIAM1","up"
"TSPAN13","up"
"CXCL12","up"
"RAB31","up"
"PKP3","up"
"CYP26B1","up"
"FKBP5","up"
"SIAH2","up"
"ISG20","up"
"TMPRSS3","up"
"SERPINA3","up"
"WFS1","up"
"MAPT","up"
"PDLIM3","up"
"RBBP8","up"
"GJB3","up"
"PRLR","up"
"SLC1A4","up"
"FOS","up"
"PLA2G16","up"
"SLC7A5","up"
"SERPINA5","up"
"IMPA2","up"
"DHCR7","up"
"MYOF","up"
"CDH1","up"
"EMP2","up"
"OVOL2","up"
"DLG5","up"
"SOX3","up"
"CHPT1","up"
"KLK10","up"
"ELOVL5","up"
"RAPGEFL1","up"
"JAK2","up"
"SLC26A2","up"
"SLC22A5","up"
"ITPK1","up"
"PCP4","up"
"PAPSS2","up"
"NAB2","up"
"FAM102A","up"
"BCL2","up"
"LSR","up"
"CACNA2D2","up"
"CA2","up"
"ASCL1","up"
"ACOX2","up"
"CISH","up"
"GLA","up"
"PTGES","up"
"PERP","up"
"OPN3","up"
"KRT13","up"
"HSPB8","up"
"UGDH","up"
"CLIC3","up"
"KLK11","up"
"PLAC1","up"
"ABHD2","up"
"SCARB1","up"
"DCXR","up"
"CCND1","up"
"SFN","up"
"ABCA3","up"
"SULT2B1","up"
"CCNA1","up"
"STIL","up"
"MICB","up"
"ZFP36","up"
"CAV1","up"
"NBL1","up"
"CD44","up"
"HR","up"
"HOMER2","up"
"BTG3","up"
"GAL","up"
"ETFB","up"
"BAG1","up"
"FRK","up"
"SLC16A1","up"
"AFF1","up"
"TFAP2C","up"
"IGSF1","up"
"HPRT1","up"
"CDC6","up"
"FARP1","up"
"AMFR","up"
"DHRS2","up"
"NXT1","up"
"S100A9","up"
"SLC29A1","up"
"SLC24A3","up"
"FOXC1","up"
"KIF20A","up"
"TOB1","up"
"FDFT1","up"
"DNAJC1","up"
"TPSAB1","up"
"TSTA3","up"
"FGFR3","up"
"SGK1","up"
"ID2","up"
"GALE","up"
"BATF","up"
"MAPK13","up"
"FABP5","up"
"MEST","up"
"JAK1","up"
"CYP4F11","up"
"KCNK5","up"
"CPE","up"
"XRCC3","up"
"CXCL14","up"
"SCUBE2","up"
"CDC20","up"
"IL6ST","up"
"GINS2","up"
"TRIM29","up"
"UNC13B","up"
"LAMC2","up"
"LARGE","up"
"SLC2A8","up"
"PLXNB1","up"
"PRKAR2B","up"
"RPS6KA2","up"
"HSPA4L","up"
"TFPI2","up"
"SERPINA1","up"
"TNNC1","up"
"HMGCS2","up"
"ALDH3A2","up"
"CD9","up"
"IDH2","up"
"SORD","up"
"MDK","up"
"ALDH3B1","up"
"PTGER3","up"
"RABEP1","up"
"KLF4","up"
"PPIF","up"
"SNX10","up"
"METTL3","up"
"PLK4","up"
"COX6C","up"
"ST14","up"
"NCOR2","up"
"MOCS2","up"
"NMU","up"
"TH","up"
"RNASEH2A","up"
"CHST8","up"
"TST","up"
"TOP2A","up"
"CKB","up"
"LTF","up"
"DUSP2","up"
"PTPN6","up"
"ATP2B4","up"
"ST6GALNAC2","up"
"ADD3","up"
"DYNLT3","up"
