"Gene","18"
"AURKA","up"
"CCNA2","up"
"TOP2A","up"
"CCNB2","up"
"CENPA","up"
"BIRC5","up"
"CDC20","up"
"PLK1","up"
"TTK","up"
"PRC1","up"
"NDC80","up"
"KIF11","up"
"NUSAP1","up"
"CKS2","up"
"KIF2C","up"
"MKI67","up"
"AURKB","up"
"TPX2","up"
"SMC4","up"
"BUB1","up"
"CENPF","up"
"RACGAP1","up"
"CENPE","up"
"KIF23","up"
"UBE2C","up"
"MCM6","up"
"MCM3","up"
"PTTG1","up"
"CDK1","up"
"KIF4A","up"
"ESPL1","up"
"MAD2L1","up"
"NEK2","up"
"KIF22","up"
"HMMR","up"
"KPNA2","up"
"CDKN3","up"
"CDC25A","up"
"H2AFX","up"
"CDC25B","up"
"PLK4","up"
"CDC6","up"
"CCNF","up"
"MCM5","up"
"LMNB1","up"
"E2F3","up"
"KIF15","up"
"CHEK1","up"
"UBE2S","up"
"WHSC1","up"
"HMGB3","up"
"DBF4","up"
"TACC3","up"
"MCM2","up"
"CDKN2C","up"
"CDKN1B","up"
"FANCC","up"
"NASP","up"
"STAG1","up"
"GINS2","up"
"FBXO5","up"
"POLQ","up"
"EZH2","up"
"RAD21","up"
"STMN1","up"
"SUV39H1","up"
"PRIM2","up"
"E2F1","up"
"CHAF1A","up"
"NOLC1","up"
"GSPT1","up"
"BUB3","up"
"SMC1A","up"
"ILF3","up"
"CDC7","up"
"INCENP","up"
"CKS1B","up"
"EXO1","up"
"H2AFZ","up"
"TFDP1","up"
"CCND1","up"
"KPNB1","up"
"HN1","up"
"LBR","up"
"HUS1","up"
"KIF20B","up"
"TOP1","up"
"PDS5B","up"
"SRSF1","up"
"STIL","up"
"ABL1","up"
"DTYMK","up"
"CDC27","up"
"BARD1","up"
"ATF5","up"
"CDC45","up"
"ODC1","up"
"XPO1","up"
"SFPQ","up"
"TMPO","up"
"PML","up"
"BRCA2","up"
"CTCF","up"
"CASC5","up"
"SETD8","up"
"SLC38A1","up"
"TRA2B","up"
"MYBL2","up"
"TROAP","up"
"PAPD7","up"
"CUL3","up"
"MAPK14","up"
"HIST1H2BK","up"
"MYC","up"
"AMD1","up"
"CBX1","up"
"CHMP1A","up"
"DKC1","up"
"YTHDC1","up"
"CCNT1","up"
"TGFB1","up"
"ATRX","up"
"LIG3","up"
"NUP50","up"
"SLC7A5","up"
"RBL1","up"
"NUMA1","up"
"RAD54L","up"
"EFNA5","up"
"PRPF4B","up"
"UCK2","up"
"ARID4A","up"
"CUL1","up"
"UPF1","up"
"DR1","up"
"MNAT1","up"
"SMC2","up"
"RBM14","up"
"RPA2","up"
"SQLE","up"
"ORC6","up"
"CDK4","up"
"POLE","up"
"RASAL2","up"
"HOXC10","up"
"RPS6KA5","up"
"CUL4A","up"
"SLC7A1","up"
"FOXN3","up"
"HMGA1","up"
"SS18","up"
"TRAIP","up"
"PRMT5","up"
"CUL5","up"
"DDX39A","up"
"MARCKS","up"
"PBK","up"
"ORC5","up"
"SAP30","up"
"KATNA1","up"
"HNRNPD","up"
"POLA2","up"
"HIRA","up"
"HIF1A","up"
"SYNCRIP","up"
"TLE3","up"
"NCL","up"
"RAD23B","up"
"E2F2","up"
"EGF","up"
"HMGN2","up"
"SRSF10","up"
"SNRPD1","up"
"CASP8AP2","up"
"SMARCC1","up"
"SLC12A2","up"
"NOTCH2","up"
"TNPO2","up"
"SMAD3","up"
"ZAK","up"
"HSPA8","up"
"G3BP1","up"
"PTTG3P","up"
"DMD","up"
"MEIS1","up"
"HNRNPU","up"
"SRSF2","up"
"MT2A","up"
"NUP98","up"
"EWSR1","up"
"KIF5B","up"
"MTF2","up"
"E2F4","up"
"BCL3","up"
"PURA","up"
"MEIS2","up"
"PAFAH1B1","up"
"WRN","up"
"H2AFV","up"
"ODF2","up"
