"Gene","22"
"PGK1","up"
"PDK1","up"
"GBE1","up"
"PFKL","up"
"ALDOA","up"
"ENO2","up"
"PGM1","up"
"NDRG1","up"
"HK2","up"
"ALDOC","up"
"GPI","up"
"MXI1","up"
"SLC2A1","up"
"P4HA1","up"
"ADM","up"
"P4HA2","up"
"ENO1","up"
"PFKP","up"
"AK4","up"
"FAM162A","up"
"PFKFB3","up"
"VEGFA","up"
"BNIP3L","up"
"TPI1","up"
"ERO1L","up"
"KDM3A","up"
"CCNG2","up"
"LDHA","up"
"GYS1","up"
"GAPDH","up"
"BHLHE40","up"
"ANGPTL4","up"
"JUN","up"
"SERPINE1","up"
"LOX","up"
"GCK","up"
"PPFIA4","up"
"MAFF","up"
"DDIT4","up"
"SLC2A3","up"
"IGFBP3","up"
"NFIL3","up"
"FOS","up"
"RBPJ","up"
"HK1","up"
"CITED2","up"
"ISG20","up"
"GALK1","up"
"WSB1","up"
"PYGM","up"
"STC1","up"
"ZNF292","up"
"BTG1","up"
"PLIN2","up"
"CSRP2","up"
"VLDLR","up"
"JMJD6","up"
"EXT1","up"
"F3","up"
"PDK3","up"
"ANKZF1","up"
"UGP2","up"
"ALDOB","up"
"STC2","up"
"ERRFI1","up"
"ENO3","up"
"PNRC1","up"
"HMOX1","up"
"PGF","up"
"GAPDHS","up"
"CHST2","up"
"TMEM45A","up"
"BCAN","up"
"ATF3","up"
"CAV1","up"
"AMPD3","up"
"GPC3","up"
"NDST1","up"
"IRS2","up"
"SAP30","up"
"GAA","up"
"SDC4","up"
"STBD1","up"
"IER3","up"
"PKLR","up"
"IGFBP1","up"
"PLAUR","up"
"PRKCDBP","up"
"WISP2","up"
"LARGE","up"
"CCRN4L","up"
"S100A4","up"
"RRAGD","up"
"ZFP36","up"
"EGFR","up"
"EDN2","up"
"IDS","up"
"CDKN1A","up"
"RORA","up"
"DUSP1","up"
"MIF","up"
"PPP1R3C","up"
"DPYSL4","up"
"KDELR3","up"
"DTNA","up"
"ADORA2B","up"
"HS3ST1","up"
"PTRF","up"
"NR3C1","up"
"KLF6","up"
"GPC4","up"
"CYR61","up"
"TNFAIP3","up"
"CA12","up"
"HEXA","up"
"BGN","up"
"PPP1R15A","up"
"PGM2","up"
"PIM1","up"
"PRDX5","up"
"NAGK","up"
"CDKN1B","up"
"BRS3","up"
"TKTL1","up"
"MT1E","up"
"ATP7A","up"
"MT2A","up"
"SDC3","up"
"TIPARP","up"
"PKP1","up"
"ANXA2","up"
"PGAM2","up"
"DDIT3","up"
"PRKCA","up"
"SLC37A4","up"
"CXCR4","up"
"EFNA3","up"
"CP","up"
"KLF7","up"
"CTGF","up"
"CHST3","up"
"TPD52","up"
"LXN","up"
"B4GALNT2","up"
"PPARGC1A","up"
"BCL2","up"
"GCNT2","up"
"HAS1","up"
"KLHL24","up"
"SCARB1","up"
"SLC25A1","up"
"SDC2","up"
"CASP6","up"
"VHL","up"
"FOXO3","up"
"PDGFB","up"
"B3GALT6","up"
"SLC2A5","up"
"SRPX","up"
"EFNA1","up"
"GLRX","up"
"CXCR7","up"
"PAM","up"
"TGFBI","up"
"DCN","up"
"SIAH2","up"
"PLAC8","up"
"FBP1","up"
"TPST2","up"
"PHKG1","up"
"MYH9","up"
"CDKN1C","up"
"GRHPR","up"
"PCK1","up"
"INHA","up"
"HSPA5","up"
"NDST2","up"
"NEDD4L","up"
"TPBG","up"
"XPNPEP1","up"
"IL6","up"
"SLC6A6","up"
"MAP3K1","up"
"LDHC","up"
"AKAP12","up"
"TES","up"
"KIF5A","up"
"LALBA","up"
"COL5A1","up"
"GPC1","up"
"HDLBP","up"
"ILVBL","up"
"NCAN","up"
"TGM2","up"
"ETS1","up"
"HOXB9","up"
"SELENBP1","up"
"FOSL2","up"
"SULT2B1","up"
"TGFB3","up"
