"Gene","24"
"IL4R","up"
"IL6ST","up"
"STAT1","up"
"IL1R1","up"
"CSF2RB","up"
"SOCS3","up"
"STAT3","up"
"OSMR","up"
"IL2RG","up"
"IFNGR1","up"
"TYK2","up"
"IL13RA1","up"
"TLR2","up"
"IFNGR2","up"
"IL10RB","up"
"IL6","up"
"IL1R2","up"
"IL3RA","up"
"IFNAR1","up"
"TNFRSF1A","up"
"MYD88","up"
"ACVR1B","up"
"CSF3R","up"
"ITGB3","up"
"REG1A","up"
"CXCL1","up"
"A2M","up"
"CSF2RA","up"
"IL15RA","up"
"IRF9","up"
"PDGFC","up"
"HAX1","up"
"BAK1","up"
"EBI3","up"
"INHBE","up"
"CRLF2","up"
"TNFRSF1B","up"
"CD14","up"
"PTPN1","up"
"PTPN2","up"
"IL1B","up"
"CSF1","up"
"IL18R1","up"
"TNF","up"
"PF4","up"
"CXCL13","up"
"LTBR","up"
"FAS","up"
"IL17RA","up"
"CXCL10","up"
"IL9R","up"
"STAM2","up"
"TNFRSF12A","up"
"STAT2","up"
"HMOX1","up"
"LEPR","up"
"CBL","up"
"CD9","up"
"CXCL3","up"
"TGFB1","up"
"MAP3K8","up"
"ITGA4","up"
"CD38","up"
"JUN","up"
"SOCS1","up"
"ACVRL1","up"
"PIM1","up"
"TNFRSF21","up"
"PIK3R5","up"
"GRB2","up"
"IRF1","up"
"DNTT","up"
"CSF2","up"
"IL2RA","up"
"PTPN11","up"
"IL12RB1","up"
"CCR1","up"
"CNTFR","up"
"PLA2G2A","up"
"CXCL9","up"
"CD44","up"
"IL7","up"
"CXCL11","up"
"CCL7","up"
"LTB","up"
"IL17RB","up"
"CD36","up"
