"Gene","32"
"PCNA","up"
"PSMD8","up"
"PSMD7","up"
"SET","up"
"SNRPA1","up"
"RAN","up"
"SRSF2","up"
"G3BP1","up"
"STARD7","up"
"NPM1","up"
"BUB3","up"
"EIF3D","up"
"XPO1","up"
"FBL","up"
"EIF4A1","up"
"CANX","up"
"NAP1L1","up"
"CBX3","up"
"CCT3","up"
"C1QBP","up"
"U2AF1","up"
"UBE2L3","up"
"SSBP1","up"
"SRSF1","up"
"TCP1","up"
"MCM2","up"
"EIF3B","up"
"PSMD14","up"
"SNRPA","up"
"PWP1","up"
"APEX1","up"
"TXNL4A","up"
"HNRNPR","up"
"PSMB2","up"
"HPRT1","up"
"MCM6","up"
"NME1","up"
"SNRPD1","up"
"EEF1B2","up"
"HSPD1","up"
"CAD","up"
"RPL18","up"
"PGK1","up"
"DDX18","up"
"RPS2","up"
"LDHA","up"
"RUVBL2","up"
"RNPS1","up"
"EIF2S1","up"
"RANBP1","up"
"MCM5","up"
"IARS","up"
"UBE2E1","up"
"MYC","up"
"AP3S1","up"
"RFC4","up"
"DUT","up"
"PSMA4","up"
"RPS3","up"
"SNRPG","up"
"PHB2","up"
"SSB","up"
"EIF4H","up"
"SRSF3","up"
"CCT4","up"
"TFDP1","up"
"EIF2S2","up"
"CDK4","up"
"SNRPD3","up"
"PSMD1","up"
"GNB2L1","up"
"GOT2","up"
"PABPC4","up"
"CCT5","up"
"PRPS2","up"
"ACP1","up"
"PRPF31","up"
"CCT2","up"
"KARS","up"
"DEK","up"
"EIF4G2","up"
"XPOT","up"
"SRM","up"
"UBA2","up"
"KPNB1","up"
"PSMA7","up"
"TRA2B","up"
"COX5A","up"
"PA2G4","up"
"PCBP1","up"
"HNRNPA1","up"
"CCNA2","up"
"PPIA","up"
"EIF3J","up"
"ORC2","up"
"PSMA2","up"
"SYNCRIP","up"
"HDAC2","up"
"LSM2","up"
"VBP1","up"
"PSMA6","up"
"CNBP","up"
"CDK2","up"
"TARDBP","up"
"NOLC1","up"
"GSPT1","up"
"HNRNPA2B1","up"
"ETF1","up"
"RPL6","up"
"TOMM70A","up"
"PTGES3","up"
"PSMA1","up"
"PSMC6","up"
"CTPS","up"
"HSPE1","up"
"FAM120A","up"
"PPM1G","up"
"HNRNPD","up"
"SERBP1","up"
"CSTF2","up"
"PRDX4","up"
"EIF4E","up"
"ODC1","up"
"USP1","up"
"RPL22","up"
"HNRNPA3","up"
"NCBP1","up"
"RPLP0","up"
"ABCE1","up"
"EIF1AX","up"
"YWHAE","up"
"MCM7","up"
"YWHAQ","up"
"VDAC1","up"
"SMARCC1","up"
"SNRPD2","up"
"HNRNPU","up"
"HDDC2","up"
"PSMD3","up"
"RRM1","up"
"SF3A1","up"
"LSM7","up"
"ERH","up"
"RPL14","up"
"PSMB3","up"
"IFRD1","up"
"NCBP2","up"
"GLO1","up"
"NDUFAB1","up"
"CUL1","up"
"NHP2","up"
"CLNS1A","up"
"TRIM28","up"
"RSL1D1","up"
"HNRNPC","up"
"COPS5","up"
"XRCC6","up"
"SLC25A3","up"
"MRPL9","up"
"POLE3","up"
"POLD2","up"
"H2AFZ","up"
"AIMP2","up"
"NOP56","up"
"PRDX3","up"
"MRPS18B","up"
"EPRS","up"
"KPNA2","up"
"HSP90AB1","up"
"RPL34","up"
"SRPK1","up"
"MAD2L1","up"
"DHX15","up"
"MCM4","up"
"RPS5","up"
"CCT7","up"
"HDGF","up"
"RPS6","up"
"SNRPB2","up"
"PSMC4","up"
"CDC20","up"
"TUFM","up"
"RRP9","up"
"CDC45","up"
"TYMS","up"
"ILF2","up"
"VDAC3","up"
"IMPDH2","up"
"SF3B3","up"
"NOP16","up"
"SRSF7","up"
"GNL3","up"
"EXOSC7","up"
"MRPL23","up"
"RAD23B","up"
"RPS10","up"
"PHB","up"
"DDX21","up"
"CYC1","up"
"PABPC1","up"
