"Gene","40"
"MAPK8","up"
"PIK3R3","up"
"GRB2","up"
"NFKBIB","up"
"MAP2K6","up"
"MAPK9","up"
"AKT1","up"
"MAPK1","up"
"PLCG1","up"
"TRIB3","up"
"GSK3B","up"
"MAP2K3","up"
"CDKN1A","up"
"RAC1","up"
"RIPK1","up"
"AKT1S1","up"
"ACTR2","up"
"PRKAR2A","up"
"YWHAB","up"
"HRAS","up"
"PDK1","up"
"PIKFYVE","up"
"TBK1","up"
"ACTR3","up"
"E2F1","up"
"MYD88","up"
"ITPR2","up"
"SQSTM1","up"
"RPS6KA1","up"
"PTPN11","up"
"MAPKAP1","up"
"PLCB1","up"
"RAF1","up"
"CAMK4","up"
"RPTOR","up"
"CFL1","up"
"CDK4","up"
"TRAF2","up"
"GNGT1","up"
"UBE2N","up"
"ADCY2","up"
"CDKN1B","up"
"VAV3","up"
"FGF6","up"
"ECSIT","up"
"RALB","up"
"ARF1","up"
"MKNK1","up"
"CDK1","up"
"PTEN","up"
"ARHGDIA","up"
"ADRBK1","up"
"FGF17","up"
"DDIT3","up"
"IRAK4","up"
"TIAM1","up"
"CDK2","up"
"SFN","up"
"PRKCB","up"
"GNA14","up"
"EIF4E","up"
"CLTC","up"
"TSC2","up"
"FGF22","up"
"PPP1CA","up"
"DUSP3","up"
"HSP90B1","up"
"IL4","up"
"STAT2","up"
"SLA","up"
"EGFR","up"
"PLA2G12A","up"
"MAPK10","up"
"CALR","up"
"THEM4","up"
"RIT1","up"
"MKNK2","up"
"PPP2R1B","up"
"CAB39L","up"
"ARPC3","up"
"PITX2","up"
"NCK1","up"
"IL2RG","up"
"PFN1","up"
"FASLG","up"
"NOD1","up"
"DAPP1","up"
"UBE2D3","up"
"CAB39","up"
"AP2M1","up"
"MAP3K7","up"
"PRKAG1","up"
"CSNK2B","up"
"PRKAA2","up"
"ATF1","up"
"SLC2A1","up"
"PIN1","up"
"TNFRSF1A","up"
"LCK","up"
"RPS6KA3","up"
"NGF","up"
"CXCR4","up"
"ACACA","up"
"SMAD2","up"
"PAK4","up"
