"Gene","42"
"GSR","up"
"PRDX2","up"
"TXNRD1","up"
"SOD1","up"
"GCLC","up"
"CAT","up"
"GPX4","up"
"MPO","up"
"PRDX1","up"
"PRDX6","up"
"GCLM","up"
"TXN","up"
"SOD2","up"
"PRDX4","up"
"SELS","up"
"PDLIM1","up"
"TXNRD2","up"
"HBXIP","up"
"G6PD","up"
"MSRA","up"
"MBP","up"
"SRXN1","up"
"NQO1","up"
"OXSR1","up"
"GLRX2","up"
"HMOX2","up"
"FES","up"
"PFKP","up"
"NDUFB4","up"
"GPX3","up"
"SCAF4","up"
"CDKN2D","up"
"MGST1","up"
"ABCC1","up"
"FTL","up"
"ATOX1","up"
"STK25","up"
"EGLN2","up"
"ERCC2","up"
"SBNO2","up"
"JUNB","up"
"PPP2R4","up"
"LSP1","up"
"NDUFA6","up"
"HHEX","up"
"GLRX","up"
"NDUFS2","up"
"PRNP","up"
"IPCEF1","up"
