"Gene","43"
"PDHA2","up"
"TSSK2","up"
"TNP1","up"
"ZPBP","up"
"DPEP3","up"
"ADAM2","up"
"ACTL7B","up"
"GAPDHS","up"
"TUBA3C","up"
"LDHC","up"
"DDX25","up"
"PRM2","up"
"TCP11","up"
"PIAS2","up"
"PAPOLB","up"
"OAZ3","up"
"PHF7","up"
"ODF1","up"
"ACRBP","up"
"YBX2","up"
"CSNK2A2","up"
"NAA11","up"
"TULP2","up"
"ADAD1","up"
"SYCP1","up"
"DDX4","up"
"MLF1","up"
"TEKT2","up"
"SPATA6","up"
"PGK2","up"
"HSPA2","up"
"ACRV1","up"
"CLPB","up"
"CRISP2","up"
"FAM164C","up"
"AKAP4","up"
"CCNA1","up"
"CCT6B","up"
"PACRG","up"
"GSG1","up"
"THEG","up"
"HSPA4L","up"
"CST8","up"
"DCC","up"
"HSPA1L","up"
"GSTM3","up"
"DNAJB8","up"
"IL13RA2","up"
"CAMK4","up"
"LPIN1","up"
"ZC3H14","up"
"COIL","up"
"PHKG2","up"
"KIF2C","up"
"RPL39L","up"
"SLC2A5","up"
"PCSK4","up"
"AURKA","up"
"MLLT10","up"
"NOS1","up"
"ART3","up"
"CCNB2","up"
"NPHP1","up"
"CLGN","up"
"MAST2","up"
"MTOR","up"
"CDKN3","up"
"ZNRF4","up"
"AGFG1","up"
"SNAP91","up"
"PSMG1","up"
"CHFR","up"
"TNP2","up"
"EZH2","up"
"HBZ","up"
"ARL4A","up"
"SLC12A2","up"
"BRAF","up"
"VDAC3","up"
"POMC","up"
"IFT88","up"
"TKTL1","up"
"NEK2","up"
"STAM2","up"
"HIST1H1T","up"
"GMCL1","up"
"MTNR1A","up"
"RFC4","up"
"DBF4","up"
"PRKAR2A","up"
"TTK","up"
"DMC1","up"
"NCAPH","up"
"PEBP1","up"
"CHRM4","up"
"TOPBP1","up"
"SCG5","up"
"NEFH","up"
"MAP7","up"
"BUB1","up"
"4-Sep","up"
"PGS1","up"
"NPY5R","up"
"TSN","up"
"CDK1","up"
"SHE","up"
"PARP2","up"
"TNNI3","up"
"PCSK1N","up"
"IDE","up"
"GPR182","up"
"RAD17","up"
"TLE4","up"
"ACE","up"
"SIRT1","up"
"HTR5A","up"
"TALDO1","up"
"NF2","up"
"CLVS1","up"
"CNIH2","up"
"GRM8","up"
"STRBP","up"
"ADCYAP1","up"
"ALOX15","up"
"MEP1B","up"
"SCG3","up"
"GFI1","up"
"ELOVL3","up"
"IL12RB2","up"
"DMRT1","up"
"GAD1","up"
"CFTR","up"
"JAM3","up"
"IP6K1","up"
"HOXB1","up"
