"Gene","45"
"JUNB","up"
"CXCL2","up"
"ATF3","up"
"NFKBIA","up"
"TNFAIP3","up"
"PTGS2","up"
"CXCL1","up"
"IER3","up"
"CD83","up"
"CCL20","up"
"CXCL3","up"
"MAFF","up"
"NFKB2","up"
"TNFAIP2","up"
"HBEGF","up"
"KLF6","up"
"BIRC3","up"
"PLAUR","up"
"ZFP36","up"
"ICAM1","up"
"JUN","up"
"EGR3","up"
"IL1B","up"
"BCL2A1","up"
"PPP1R15A","up"
"ZC3H12A","up"
"SOD2","up"
"NR4A2","up"
"IL1A","up"
"RELB","up"
"TRAF1","up"
"BTG2","up"
"DUSP1","up"
"MAP3K8","up"
"ETS2","up"
"F3","up"
"SDC4","up"
"EGR1","up"
"IL6","up"
"TNF","up"
"KDM6B","up"
"NFKB1","up"
"LIF","up"
"PTX3","up"
"FOSL1","up"
"NR4A1","up"
"JAG1","up"
"CCL4","up"
"GCH1","up"
"CCL2","up"
"RCAN1","up"
"DUSP2","up"
"EHD1","up"
"IER2","up"
"REL","up"
"CFLAR","up"
"RIPK2","up"
"NFKBIE","up"
"NR4A3","up"
"PHLDA1","up"
"IER5","up"
"TNFSF9","up"
"GEM","up"
"GADD45A","up"
"CXCL10","up"
"PLK2","up"
"BHLHE40","up"
"EGR2","up"
"SOCS3","up"
"SLC2A6","up"
"PTGER4","up"
"DUSP5","up"
"SERPINB2","up"
"NFIL3","up"
"SERPINE1","up"
"TRIB1","up"
"TIPARP","up"
"RELA","up"
"BIRC2","up"
"CXCL6","up"
"LITAF","up"
"TNFAIP6","up"
"CD44","up"
"INHBA","up"
"PLAU","up"
"MYC","up"
"TNFRSF9","up"
"SGK1","up"
"TNIP1","up"
"NAMPT","up"
"FOSL2","up"
"PNRC1","up"
"ID2","up"
"CD69","up"
"IL7R","up"
"EFNA1","up"
"PHLDA2","up"
"PFKFB3","up"
"CCL5","up"
"YRDC","up"
"IFNGR2","up"
"SQSTM1","up"
"BTG3","up"
"GADD45B","up"
"KYNU","up"
"G0S2","up"
"BTG1","up"
"MCL1","up"
"VEGFA","up"
"MAP2K3","up"
"CDKN1A","up"
"CYR61","up"
"TANK","up"
"IFIT2","up"
"IL18","up"
"TUBB2A","up"
"IRF1","up"
"FOS","up"
"OLR1","up"
"RHOB","up"
"AREG","up"
"NINJ1","up"
"ZBTB10","up"
"PPAP2B","up"
"KLF4","up"
"CXCL11","up"
"SAT1","up"
"CSF1","up"
"GPR183","up"
"PMEPA1","up"
"PTPRE","up"
"TLR2","up"
"CXCR7","up"
"KLF10","up"
"MARCKS","up"
"LAMB3","up"
"CEBPB","up"
"TRIP10","up"
"F2RL1","up"
"KLF9","up"
"LDLR","up"
"TGIF1","up"
"RNF19B","up"
"DRAM1","up"
"B4GALT1","up"
"DNAJB4","up"
"CSF2","up"
"PDE4B","up"
"SNN","up"
"PLEK","up"
"STAT5A","up"
"DENND5A","up"
"CCND1","up"
"DDX58","up"
"SPHK1","up"
"CD80","up"
"TNFAIP8","up"
"CCNL1","up"
"FUT4","up"
"CCRL2","up"
"SPSB1","up"
"TSC22D1","up"
"B4GALT5","up"
"SIK1","up"
"CLCF1","up"
"NFE2L2","up"
"FOSB","up"
"PER1","up"
"NFAT5","up"
"ATP2B1","up"
"IL12B","up"
"IL6ST","up"
"SLC16A6","up"
"ABCA1","up"
"HES1","up"
"BCL6","up"
"IRS2","up"
"SLC2A3","up"
"CEBPD","up"
"IL23A","up"
"SMAD3","up"
"TAP1","up"
"MSC","up"
"IFIH1","up"
"IL15RA","up"
"TNIP2","up"
"BCL3","up"
"PANX1","up"
"FJX1","up"
"EDN1","up"
"EIF1","up"
"BMP2","up"
"DUSP4","up"
"PDLIM5","up"
"ICOSLG","up"
"GFPT2","up"
"KLF2","up"
"TNC","up"
"SERPINB8","up"
"MXD1","up"
