"Gene","2"
"PTPRC","up"
"IL12B","up"
"TGFB1","up"
"IL12A","up"
"CD3E","up"
"CD3D","up"
"CD28","up"
"LYN","up"
"HCLS1","up"
"IL18","up"
"CRTAM","up"
"IFNG","up"
"CD3G","up"
"CD86","up"
"IL10","up"
"UBE2N","up"
"BCL10","up"
"CD4","up"
"LCK","up"
"NCK1","up"
"C2","up"
"HLA-A","up"
"ITGB2","up"
"HLA-DQA1","up"
"CD1D","up"
"CD80","up"
"HLA-DRA","up"
"THY1","up"
"TLR1","up"
"HLA-G","up"
"HLA-DMB","up"
"IL7","up"
"IL4","up"
"TNF","up"
"CD247","up"
"IL2","up"
"HLA-DMA","up"
"STAT1","up"
"IRF4","up"
"SRGN","up"
"INHBA","up"
"TLR3","up"
"ZAP70","up"
"CD74","up"
"CD40","up"
"TRAF2","up"
"B2M","up"
"BCL3","up"
"LTB","up"
"IFNGR1","up"
"CCR5","up"
"CD40LG","up"
"HLA-DOA","up"
"GLMN","up"
"IL6","up"
"HLA-E","up"
"CD2","up"
"CCL5","up"
"FAS","up"
"FASLG","up"
"TLR6","up"
"PF4","up"
"TGFB2","up"
"CD79A","up"
"INHBB","up"
"ELANE","up"
"SPI1","up"
"MAP3K7","up"
"IL15","up"
"CTSS","up"
"CD47","up"
"PRF1","up"
"IL12RB1","up"
"LCP2","up"
"SOCS1","up"
"CDKN2A","up"
"STAT4","up"
"CD7","up"
"HLA-DOB","up"
"CD8A","up"
"ICAM1","up"
"CCL4","up"
"GZMB","up"
"CSF1","up"
"IL11","up"
"STAB1","up"
"IL2RA","up"
"NLRP3","up"
"CCND3","up"
"EIF3A","up"
"SIT1","up"
"IFNAR2","up"
"HDAC9","up"
"CARTPT","up"
"TRAT1","up"
"CCL22","up"
"APBB1","up"
"FYB","up"
"IL1B","up"
"TIMP1","up"
"RPS19","up"
"JAK2","up"
"KRT1","up"
"WARS","up"
"IFNGR2","up"
"CCR2","up"
"EREG","up"
"MMP9","up"
"EGFR","up"
"IL16","up"
"CFP","up"
"WAS","up"
"ITGAL","up"
"KLRD1","up"
"RARS","up"
"TLR2","up"
"CCND2","up"
"IL2RG","up"
"ETS1","up"
"ITK","up"
"NCR1","up"
"MAP4K1","up"
"CCL19","up"
"PSMB10","up"
"RPL39","up"
"EIF3J","up"
"ABCE1","up"
"CD8B","up"
"F2","up"
"ELF4","up"
"LY86","up"
"FCGR2B","up"
"GBP2","up"
"PRKCG","up"
"RPS9","up"
"MTIF2","up"
"GZMA","up"
"AARS","up"
"CD96","up"
"CSK","up"
"HIF1A","up"
"CCL2","up"
"ICOSLG","up"
"NPM1","up"
"IL4R","up"
"CCL11","up"
"NME1","up"
"FLNA","up"
"GPR65","up"
"ACHE","up"
"EIF3D","up"
"IGSF6","up"
"F2R","up"
"IL13","up"
"TAP1","up"
"DARS","up"
"IRF7","up"
"ACVR2A","up"
"CXCR3","up"
"PRKCB","up"
"CXCL9","up"
"PTPN6","up"
"NCF4","up"
"UBE2D1","up"
"LIF","up"
"CCR1","up"
"MBL2","up"
"DEGS1","up"
"TPD52","up"
"AKT1","up"
"RIPK2","up"
"IKBKB","up"
"GCNT1","up"
"SOCS5","up"
"IRF8","up"
"TAP2","up"
"EIF4G3","up"
"ABI1","up"
"CCL7","up"
"IL2RB","up"
"BRCA1","up"
"FGR","up"
"IL18RAP","up"
"MRPL3","up"
"CXCL13","up"
"CAPG","up"
"EIF5A","up"
"RPS3A","up"
"GALNT1","up"
"ST8SIA4","up"
"CCL13","up"
"RPL3L","up"
"LY75","up"
"TAPBP","up"
"NOS2","up"
"RPL9","up"
"BCAT1","up"
"IL9","up"
"IL27RA","up"
"DYRK3","up"
