"Gene","3"
"KLK3","up"
"KLK2","up"
"ACSL3","up"
"PIAS1","up"
"CAMKK2","up"
"NKX3-1","up"
"TMPRSS2","up"
"APPBP2","up"
"CENPN","up"
"BMPR1B","up"
"MAF","up"
"FADS1","up"
"ZBTB10","up"
"HMGCR","up"
"SPCS3","up"
"INSIG1","up"
"NGLY1","up"
"UBE2J1","up"
"ELK4","up"
"ABCC4","up"
"ELOVL5","up"
"ALDH1A3","up"
"TARP","up"
"AZGP1","up"
"ABHD2","up"
"SAT1","up"
"DBI","up"
"DHCR24","up"
"SORD","up"
"STK39","up"
"TPD52","up"
"IDI1","up"
"B2M","up"
"MAP7","up"
"DNAJB9","up"
"FKBP5","up"
"HERC3","up"
"PGM3","up"
"HOMER2","up"
"ELL2","up"
"UAP1","up"
"SEC24D","up"
"LMAN1","up"
"PMEPA1","up"
"INPP4B","up"
"RRP12","up"
"SEPP1","up"
"NDRG1","up"
"KRT19","up"
"ITGAV","up"
"B4GALT1","up"
"MAK","up"
"SPDEF","up"
"GSR","up"
"KRT8","up"
"LIFR","up"
"PPAP2A","up"
"STEAP4","up"
"GUCY1A3","up"
"SRP19","up"
"CCND3","up"
"IQGAP2","up"
"RAB4A","up"
"SLC26A2","up"
"SMS","up"
"ZMIZ1","up"
"SGK1","up"
"MERTK","up"
"HPGD","up"
"ANKH","up"
"GNAI3","up"
"SRF","up"
"SLC38A2","up"
"HMGCS1","up"
"ARID5B","up"
"CDC14B","up"
"TNFAIP8","up"
"XRCC5","up"
"GPD1L","up"
"ACTN1","up"
"RPS6KA3","up"
"TSC22D1","up"
"PDLIM5","up"
"TMEM50A","up"
"ADAMTS1","up"
"NCOA4","up"
"AKAP12","up"
"SCD","up"
"PTK2B","up"
"CDK6","up"
"ADRM1","up"
"H1F0","up"
"HSD17B14","up"
"VAPA","up"
"CCND1","up"
"XRCC6","up"
"MYL12A","up"
"UBE2I","up"
"PTPN21","up"
"AKT1","up"
"PA2G4","up"
