"Gene","9"
"FDPS","up"
"CYP51A1","up"
"IDI1","up"
"FDFT1","up"
"DHCR7","up"
"SQLE","up"
"HMGCS1","up"
"NSDHL","up"
"LSS","up"
"MVD","up"
"LDLR","up"
"TM7SF2","up"
"ALDOC","up"
"EBP","up"
"SCD","up"
"PMVK","up"
"MVK","up"
"LPL","up"
"SC5DL","up"
"FADS2","up"
"HMGCR","up"
"HSD17B7","up"
"ANXA13","up"
"SREBF2","up"
"PCYT2","up"
"ACSS2","up"
"ATF3","up"
"ADH4","up"
"ETHE1","up"
"ECH1","up"
"CBS","up"
"GUSB","up"
"FASN","up"
"LGALS3","up"
"ATF5","up"
"ANXA5","up"
"TP53INP1","up"
"CHKA","up"
"GSTM2","up"
"ACAT2","up"
"AVPR1A","up"
"PLSCR1","up"
"CLU","up"
"ERRFI1","up"
"TRIB3","up"
"CXCL16","up"
"TNFRSF12A","up"
"ACTG1","up"
"JAG1","up"
"LGMN","up"
"FBXO6","up"
"GPX8","up"
"PNRC1","up"
"ANTXR2","up"
"MAL2","up"
"CD9","up"
"PPARG","up"
"GLDC","up"
"STX5","up"
"STARD4","up"
"CTNNB1","up"
"TMEM97","up"
"FAM129A","up"
"PDK3","up"
"PLAUR","up"
"SEMA3B","up"
"GNAI1","up"
"ABCA2","up"
"ATXN2","up"
"NFIL3","up"
"ALCAM","up"
"FABP5","up"
"S100A11","up"
"CPEB2","up"
