"Gene","17"
"ACAA1","up"
"ACAA2","up"
"ACADL","up"
"ACADM","up"
"ACOT8","up"
"ACOX1","up"
"ACSL1","up"
"ALDH3A2","up"
"CCDC58","up"
"CPT2","up"
"CYP4A11","up"
"DECR1","up"
"ECH1","up"
"ECI1","up"
"ELOVL5","up"
"FABP1","up"
"FABP2","up"
"HADH","up"
"HIBCH","up"
"HMGCL","up"
"HSD17B11","up"
"IDH1","up"
"ME1","up"
"MGLL","up"
"MLYCD","up"
"PCBD1","up"
"RETSAT","up"
"S100A10","up"
"SUCLG1","up"
"VNN1","up"
"EHHADH","up"
"ALDH9A1","up"
"HADHB","up"
"ECHS1","up"
"ACADS","up"
"CA2","up"
"HSD17B10","up"
"ALDH1A1","up"
"ACADVL","up"
"HSD17B4","up"
"CA4","up"
"ADH1C","up"
"ADH7","up"
"PTS","up"
"MAOA","up"
"HAO2","up"
"HSD17B7","up"
"MCEE","up"
"ACAT2","up"
"AUH","up"
"HPGD","up"
"FH","up"
"HMGCS2","up"
"ALAD","up"
"GPD1","up"
"ACO2","up"
"CBR1","up"
"GRHPR","up"
"ACOT2","up"
"G0S2","up"
"MDH2","up"
"HSP90AA1","up"
"BCKDHB","up"
"UROS","up"
"YWHAH","up"
"LDHA","up"
"CRYZ","up"
"RDH16","up"
"INMT","up"
"UGDH","up"
"GSTZ1","up"
"IDH3B","up"
"MDH1","up"
"CRAT","up"
"ETFDH","up"
"CD36","up"
"ECI2","up"
"SDHD","up"
"ACSL5","up"
"HSDL2","up"
"HMGCS1","up"
"SDHC","up"
"CD1D","up"
"GCDH","up"
"GPD2","up"
"ALDH3A1","up"
"SLC22A5","up"
"PDHB","up"
"TDO2","up"
"FASN","up"
"NBN","up"
"PSME1","up"
"PPARA","up"
"NCAPH2","up"
"BPHL","up"
"ODC1","up"
"CA6","up"
"DLD","up"
"HCCS","up"
"EPHX1","up"
"DLST","up"
"FMO1","up"
"AOC3","up"
"UROD","up"
"CPT1A","up"
"SETD8","up"
"UBE2L6","up"
"MIF","up"
"SUCLG2","up"
"CPOX","up"
"SMS","up"
"CBR3","up"
"NTHL1","up"
"CIDEA","up"
"IDI1","up"
"AADAT","up"
"REEP6","up"
"HSPH1","up"
"APEX1","up"
"NSDHL","up"
"ADIPOR2","up"
"ACSL4","up"
"ACSS1","up"
"ENO3","up"
"IDH3G","up"
"LGALS1","up"
"METAP1","up"
"ALDOA","up"
"ACSM3","up"
"LTC4S","up"
"D2HGDH","up"
"ADSL","up"
"SUCLA2","up"
"SDHA","up"
"XIST","up"
"OSTC","up"
"GLUL","up"
"CYP4A22","up"
"GABARAPL1","up"
"AQP7","up"
"CYP1A1","up"
"PRDX6","up"
"ERP29","up"
"H2AFZ","up"
"GAPDHS","up"
"DHCR24","up"
"GAD2","up"
"PTPRG","up"
"IL4I1","up"
"TP53INP2","up"
"PDHA1","up"
"RAP1GDS1","up"
"CEL","up"
"BLVRA","up"
"SERINC1","up"
"BMPR1B","up"
"RDH11","up"
"ENO2","up"
