"Gene","21"
"ALAS2","up"
"PPOX","up"
"FECH","up"
"HMBS","up"
"GYPB","up"
"ALAD","up"
"RHD","up"
"GYPA","up"
"SELENBP1","up"
"BLVRB","up"
"GYPE","up"
"GYPC","up"
"EPB42","up"
"SLC4A1","up"
"RHCE","up"
"RHAG","up"
"TAL1","up"
"8-Mar","up"
"SPTB","up"
"UROD","up"
"HBQ1","up"
"DCAF11","up"
"ERMAP","up"
"EIF2AK1","up"
"CPOX","up"
"MPP1","up"
"GLRX5","up"
"TSPAN5","up"
"OSBP2","up"
"ANK1","up"
"NFE2","up"
"AHSP","up"
"SPTA1","up"
"MAP2K3","up"
"BNIP3L","up"
"SLC22A4","up"
"CLIC2","up"
"TRAK2","up"
"GCLC","up"
"KEL","up"
"RANBP10","up"
"TRIM10","up"
"TSPO2","up"
"UROS","up"
"XK","up"
"SNCA","up"
"MARK3","up"
"UBAC1","up"
"CA1","up"
"CA2","up"
"BSG","up"
"FOXO3","up"
"KLF1","up"
"CDC27","up"
"KAT2B","up"
"NARF","up"
"GCLM","up"
"FBXO7","up"
"H1F0","up"
"HEBP1","up"
"HBD","up"
"NUDT4","up"
"FBXO9","up"
"RAD23A","up"
"CROCCP2","up"
"TMCC2","up"
"BLVRA","up"
"GATA1","up"
"RBM38","up"
"PRDX2","up"
"RNF123","up"
"MINPP1","up"
"TNS1","up"
"CTSE","up"
"EPB49","up"
"HDGF","up"
"XPO7","up"
"MKRN1","up"
"SMOX","up"
"TFDP2","up"
"MXI1","up"
"HBB","up"
"MOSPD1","up"
"SLC25A37","up"
"SLC30A1","up"
"ABCB6","up"
"SLC6A8","up"
"TFRC","up"
"RCL1","up"
"TOP1","up"
"EPOR","up"
"TNRC6B","up"
"ACSL6","up"
"GAPVD1","up"
"MGST3","up"
"SLC30A10","up"
"CAT","up"
"BCAM","up"
"HBZ","up"
"DARC","up"
"PSMD9","up"
"ISCA1","up"
"PDZK1IP1","up"
"HIST1H4C","up"
"ICAM4","up"
"MOCOS","up"
"ADD1","up"
"FTCD","up"
"ADD2","up"
"BMP2K","up"
"BPGM","up"
"CLCN3","up"
"E2F2","up"
"HAGH","up"
"JHDM1D","up"
"OPTN","up"
"RAP1GAP","up"
"CTNS","up"
"NFE2L1","up"
"ELL2","up"
"SLC2A1","up"
"PIGQ","up"
"KLF3","up"
"EPB41","up"
"LAMP2","up"
"TMEM9B","up"
"EZH1","up"
"CTSB","up"
"ATG4A","up"
"MFHAS1","up"
"MYL4","up"
"RNF19A","up"
"BTG2","up"
"SLC11A2","up"
"ADIPOR1","up"
"ASNS","up"
"DCUN1D1","up"
"ALDH1L1","up"
"DCAF10","up"
"YPEL5","up"
"SEC14L1","up"
"USP15","up"
"RIOK3","up"
"SIDT2","up"
"FOXJ2","up"
"TCEA1","up"
"VEZF1","up"
"LPIN2","up"
"PC","up"
"HBBP1","up"
"CDR2","up"
"CCND3","up"
"SLC25A38","up"
"FAM46C","up"
"FBXO34","up"
"BACH1","up"
"NR3C1","up"
"AQP3","up"
"TRIM58","up"
"LMO2","up"
"PICALM","up"
"NCOA4","up"
"GDE1","up"
"SLC6A9","up"
"NNT","up"
"ARHGEF12","up"
"PPP2R5B","up"
"C3","up"
"2-Mar","up"
"UCP2","up"
"SYNJ1","up"
"FN3K","up"
"ABCG2","up"
"DAAM1","up"
"AGPAT4","up"
"CCDC28A","up"
"GMPS","up"
"ACP5","up"
"SLC10A3","up"
"ALDH6A1","up"
"CIR1","up"
"RBM5","up"
"HTRA2","up"
"IGSF3","up"
"BTRC","up"
"PGLS","up"
"PQLC1","up"
"SDCBP","up"
"LRP10","up"
"NEK7","up"
"ARL2BP","up"
"ENDOD1","up"
"P4HA2","up"
"HTATIP2","up"
"SLC7A11","up"
"KHNYN","up"
"MBOAT2","up"
"ATP6V0A1","up"
"CAST","up"
"TYR","up"
