"Gene","23"
"SOCS2","up"
"CISH","up"
"PIM1","up"
"IL2RA","up"
"TNFRSF4","up"
"SOCS1","up"
"TNFRSF9","up"
"XBP1","up"
"RRAGD","up"
"HK2","up"
"PHLDA1","up"
"IL2RB","up"
"CTLA4","up"
"NFIL3","up"
"CD83","up"
"IKZF2","up"
"IL10","up"
"TNFRSF18","up"
"DHRS3","up"
"ECM1","up"
"ADAM19","up"
"SLC2A3","up"
"HIPK2","up"
"BATF3","up"
"BHLHE40","up"
"PTGER2","up"
"DENND5A","up"
"ITIH5","up"
"PHTF2","up"
"GADD45B","up"
"NRP1","up"
"NCOA3","up"
"CD79B","up"
"AHR","up"
"TNFRSF1B","up"
"NDRG1","up"
"BCL2L1","up"
"GABARAPL1","up"
"LIF","up"
"TIAM1","up"
"BMPR2","up"
"MAP3K8","up"
"RHOB","up"
"MYC","up"
"S100A1","up"
"METTL20","up"
"CAPG","up"
"ST3GAL4","up"
"PENK","up"
"IRF4","up"
"CST7","up"
"WLS","up"
"TLR7","up"
"IKZF4","up"
"GBP4","up"
"RGS16","up"
"SPP1","up"
"IL13","up"
"SLC29A2","up"
"NFKBIZ","up"
"IL4R","up"
"MXD1","up"
"CSF2","up"
"FAH","up"
"CTSZ","up"
"ITGAE","up"
"MUC1","up"
"MAPKAPK2","up"
"TNFRSF21","up"
"NT5E","up"
"FLT3LG","up"
"CCND2","up"
"TRAF1","up"
"LCLAT1","up"
"IL3RA","up"
"CYFIP1","up"
"BCL2","up"
"FGL2","up"
"PRNP","up"
"N6AMT2","up"
"PUS1","up"
"ITGAV","up"
"NCS1","up"
"DCPS","up"
"AMACR","up"
"FAM126B","up"
"PTH1R","up"
"ODC1","up"
"IGF1R","up"
"PTCH1","up"
"ENO3","up"
"CD81","up"
"MAFF","up"
"EMP1","up"
"CDKN1C","up"
"CAPN3","up"
"IL1R2","up"
"SYT11","up"
"TTC39B","up"
"ANXA4","up"
"BATF","up"
"P4HA1","up"
"GPR65","up"
"SLC1A5","up"
"IGF2R","up"
"CKAP4","up"
"CCR4","up"
"CD44","up"
"P2RX4","up"
"GATA1","up"
"KLF6","up"
"ARL4A","up"
"HOPX","up"
"GPR83","up"
"ITGA6","up"
"CD48","up"
"CCDC164","up"
"SELP","up"
"GLIPR2","up"
"SMPDL3A","up"
"PLSCR1","up"
"FURIN","up"
"SERPINB6","up"
"TNFSF11","up"
"GPX4","up"
"LRRC8C","up"
"CCNE1","up"
"CASP3","up"
"SH3BGRL2","up"
"SNX9","up"
"PLEC","up"
"BMP2","up"
"ICOS","up"
"ALCAM","up"
"LTB","up"
"ENPP1","up"
"IL1RL1","up"
"MYO1C","up"
"IFNGR1","up"
"PLIN2","up"
"IL18R1","up"
"AHNAK","up"
"PRKCH","up"
"TNFRSF8","up"
"SYNGR2","up"
"GALM","up"
"POU2F1","up"
"EOMES","up"
"NOP2","up"
"PTRH2","up"
"RHOH","up"
"CDC6","up"
"MYO1E","up"
"CXCL10","up"
"SNX14","up"
"IRF6","up"
"IL10RA","up"
"MAP6","up"
"TNFSF10","up"
"SPRED2","up"
"SELL","up"
"SERPINC1","up"
"CDCP1","up"
"RORA","up"
"COCH","up"
"CSF1","up"
"F2RL2","up"
"UCK2","up"
"CA2","up"
"IFITM3","up"
"UMPS","up"
"HUWE1","up"
"COL6A1","up"
"ABCB1","up"
"RNH1","up"
"IRF8","up"
"GUCY1B3","up"
"AHCY","up"
"PRAF2","up"
"GSTO1","up"
"TWSG1","up"
"CDC42SE2","up"
"PLAGL1","up"
"APLP1","up"
"AKAP2","up"
"PPAP2A","up"
"SPRY4","up"
"SCN9A","up"
"SHE","up"
"PDCD2L","up"
"CCND3","up"
"LRIG1","up"
"SWAP70","up"
"SLC39A8","up"
"RABGAP1L","up"
"TGM2","up"
"PNP","up"
"AGER","up"
"ETV4","up"
"CD86","up"
