"Gene","25"
"CXCL10","up"
"CCL2","up"
"CCL5","up"
"FPR1","up"
"CCL20","up"
"IL1A","up"
"IL8","up"
"CCL7","up"
"CCL22","up"
"CXCL11","up"
"CCR7","up"
"EDN1","up"
"CD40","up"
"CXCL9","up"
"IL6","up"
"IL1B","up"
"TLR2","up"
"IL1R1","up"
"CD69","up"
"ICAM1","up"
"CCRL2","up"
"AQP9","up"
"EREG","up"
"C3AR1","up"
"GNA15","up"
"CMKLR1","up"
"PTGER4","up"
"LIF","up"
"IL15","up"
"NAMPT","up"
"OPRK1","up"
"ITGB8","up"
"PTAFR","up"
"ADM","up"
"PLAUR","up"
"NFKB1","up"
"INHBA","up"
"OSM","up"
"TNFSF10","up"
"TNFSF15","up"
"IFNGR2","up"
"EMR1","up"
"IL12B","up"
"CSF1","up"
"CXCL6","up"
"TNFRSF9","up"
"LYN","up"
"ACVR2A","up"
"LDLR","up"
"BDKRB1","up"
"HRH1","up"
"F3","up"
"BST2","up"
"PTGIR","up"
"CD55","up"
"CALCRL","up"
"CSF3","up"
"GPR132","up"
"IL4R","up"
"NLRP3","up"
"IL15RA","up"
"ADORA2B","up"
"GCH1","up"
"OLR1","up"
"PTGER2","up"
"CSF3R","up"
"MYC","up"
"RELA","up"
"TNFAIP6","up"
"IL7R","up"
"IL18","up"
"GABBR1","up"
"CD82","up"
"TNFSF9","up"
"NMUR1","up"
"IL2RB","up"
"TLR1","up"
"LPAR1","up"
"IRAK2","up"
"RIPK2","up"
"MMP14","up"
"P2RX7","up"
"SLC11A2","up"
"SELL","up"
"P2RY2","up"
"ABCA1","up"
"FFAR2","up"
"PROK2","up"
"GNAI3","up"
"TACR1","up"
"SLC7A1","up"
"CDKN1A","up"
"CYBB","up"
"TIMP1","up"
"HBEGF","up"
"SCARF1","up"
"EBI3","up"
"NFKBIA","up"
"SRI","up"
"SLC7A2","up"
"CCL17","up"
"TLR3","up"
"APLNR","up"
"OSMR","up"
"IL10RA","up"
"PSEN1","up"
"GPR183","up"
"ATP2B1","up"
"TNFRSF1B","up"
"BEST1","up"
"GPC3","up"
"SCN1B","up"
"ACVR1B","up"
"HPN","up"
"SEMA4D","up"
"KLF6","up"
"CD48","up"
"CXCR6","up"
"SLC1A2","up"
"GP1BA","up"
"TAPBP","up"
"RGS16","up"
"SLAMF1","up"
"LCK","up"
"HIF1A","up"
"AHR","up"
"NMI","up"
"RHOG","up"
"TPBG","up"
"NPFFR2","up"
"IFNAR1","up"
"ICOSLG","up"
"RASGRP1","up"
"IFITM1","up"
"KCNJ2","up"
"LY6E","up"
"IL18R1","up"
"IL10","up"
"KCNA3","up"
"HAS2","up"
"DCBLD2","up"
"LAMP3","up"
"VIP","up"
"CD70","up"
"RGS1","up"
"SLC31A1","up"
"ADRM1","up"
"KCNMB2","up"
"SERPINE1","up"
"MXD1","up"
"AXL","up"
"MEFV","up"
"PVR","up"
"CCL24","up"
"PDE4B","up"
"LCP2","up"
"PDPN","up"
"IRF7","up"
"MET","up"
"ATP2A2","up"
"SLC31A2","up"
"FZD5","up"
"ITGA5","up"
"SGMS2","up"
"MARCO","up"
"CD14","up"
"EIF2AK2","up"
"ROS1","up"
"ATP2C1","up"
"NDP","up"
"BTG2","up"
"MSR1","up"
"PTPRE","up"
"RNF144B","up"
"PCDH7","up"
"SPHK1","up"
"IL18RAP","up"
"RTP4","up"
"RAF1","up"
"CHST2","up"
"ITGB3","up"
"KIF1B","up"
"SELE","up"
"NOD2","up"
"C5AR1","up"
"EMP3","up"
"CLEC5A","up"
"TACR3","up"
"SLC4A4","up"
"MEP1A","up"
"SELS","up"
"LTA","up"
"PIK3R5","up"
"STAB1","up"
"IRF1","up"
"ICAM4","up"
"P2RX4","up"
"ABI1","up"
"CX3CL1","up"
"SLC28A2","up"
