"Gene","27"
"STAT1","up"
"ISG15","up"
"IFIT1","up"
"MX1","up"
"IFIT3","up"
"IFI35","up"
"IRF7","up"
"IFIT2","up"
"OAS2","up"
"TAP1","up"
"EIF2AK2","up"
"RSAD2","up"
"MX2","up"
"IRF1","up"
"OAS3","up"
"TNFSF10","up"
"IRF9","up"
"CXCL10","up"
"IFI44","up"
"BST2","up"
"XAF1","up"
"SP110","up"
"OASL","up"
"PSMB8","up"
"IFI44L","up"
"IFITM3","up"
"DDX60","up"
"LGALS3BP","up"
"GBP4","up"
"IRF8","up"
"PSMB9","up"
"PML","up"
"IFIH1","up"
"UBE2L6","up"
"IFI27","up"
"ADAR","up"
"LY6E","up"
"STAT2","up"
"CXCL9","up"
"IL10RA","up"
"PLA2G4A","up"
"TRIM21","up"
"USP18","up"
"PTGS2","up"
"EPSTI1","up"
"C1S","up"
"DDX58","up"
"IL15","up"
"NLRC5","up"
"NMI","up"
"IDO1","up"
"PSMB10","up"
"CXCL11","up"
"ITGB7","up"
"SAMHD1","up"
"HERC6","up"
"CMPK2","up"
"SAMD9L","up"
"RTP4","up"
"PTPN2","up"
"PARP14","up"
"TNFAIP2","up"
"IFITM2","up"
"PLSCR1","up"
"SOCS1","up"
"CASP1","up"
"ICAM1","up"
"WARS","up"
"PSME1","up"
"ISG20","up"
"IRF2","up"
"TRIM14","up"
"FCGR1A","up"
"1-Mar","up"
"SOCS3","up"
"JAK2","up"
"HLA-DMA","up"
"PARP12","up"
"TNFAIP6","up"
"TRIM26","up"
"VCAM1","up"
"CD274","up"
"CIITA","up"
"NAMPT","up"
"SELP","up"
"GPR18","up"
"FPR1","up"
"PRIC285","up"
"PSME2","up"
"SERPING1","up"
"CCL5","up"
"RNF31","up"
"SOD2","up"
"TRIM25","up"
"LAP3","up"
"PSMA3","up"
"RNF213","up"
"PELI1","up"
"CFB","up"
"CD86","up"
"TXNIP","up"
"HLA-DQA1","up"
"GCH1","up"
"PNP","up"
"CCL7","up"
"PTPN6","up"
"SPPL2A","up"
"IL4R","up"
"PNPT1","up"
"DHX58","up"
"BTG1","up"
"CASP8","up"
"IFI30","up"
"CCL2","up"
"FGL2","up"
"CASP7","up"
"SECTM1","up"
"IL15RA","up"
"CD40","up"
"TRAFD1","up"
"HLA-DRB1","up"
"GBP6","up"
"LCP2","up"
"HLA-G","up"
"MT2A","up"
"RIPK1","up"
"KLRK1","up"
"UPP1","up"
"PSMB2","up"
"TDRD7","up"
"HIF1A","up"
"EIF4E3","up"
"VAMP8","up"
"PFKP","up"
"CD38","up"
"ZBP1","up"
"BANK1","up"
"TOR1B","up"
"RBCK1","up"
"PDE4B","up"
"MVP","up"
"IL7","up"
"BPGM","up"
"FTSJD2","up"
"AUTS2","up"
"B2M","up"
"RIPK2","up"
"CD69","up"
"MYD88","up"
"PSMA2","up"
"PIM1","up"
"NOD1","up"
"CFH","up"
"TAPBP","up"
"SLC25A28","up"
"PTPN1","up"
"TNFAIP3","up"
"SSPN","up"
"NUP93","up"
"MTHFD2","up"
"CDKN1A","up"
"IRF4","up"
"NFKB1","up"
"BATF2","up"
"HLA-B","up"
"LATS2","up"
"IRF5","up"
"SLAMF7","up"
"ISOC1","up"
"P2RY14","up"
"STAT3","up"
"NCOA3","up"
"HLA-A","up"
"IL6","up"
"GZMA","up"
"IFNAR2","up"
"CD74","up"
"RAPGEF6","up"
"CASP4","up"
"FAS","up"
"OGFR","up"
"ARL4A","up"
"SRI","up"
"LYSMD2","up"
"CSF2RB","up"
"ST3GAL5","up"
"C1R","up"
"CASP3","up"
"CMKLR1","up"
"NFKBIA","up"
"METTL7B","up"
"ST8SIA4","up"
"XCL1","up"
"IL2RB","up"
"VAMP5","up"
"IL18BP","up"
"ZNFX1","up"
"ARID5B","up"
"APOL6","up"
"STAT4","up"
