"Gene","30"
"ARHGEF2","up"
"CLASP1","up"
"KIF11","up"
"KIF23","up"
"ALS2","up"
"ARF6","up"
"MYO9B","up"
"MYH9","up"
"TUBGCP3","up"
"CKAP5","up"
"RACGAP1","up"
"PREX1","up"
"ARHGEF3","up"
"NUMA1","up"
"SPTBN1","up"
"KIF2C","up"
"KIF5B","up"
"TTK","up"
"APC","up"
"CEP250","up"
"PAFAH1B1","up"
"CDC42EP2","up"
"KIF3B","up"
"CCDC88A","up"
"KIF15","up"
"BIRC5","up"
"CNTROB","up"
"NF1","up"
"TSC1","up"
"CDC27","up"
"CNTRL","up"
"TUBGCP5","up"
"KIF4A","up"
"MAPRE1","up"
"FGD6","up"
"BRCA2","up"
"PLK1","up"
"RASA1","up"
"NEK2","up"
"WASF1","up"
"TOP2A","up"
"TRIO","up"
"ARHGEF11","up"
"KATNB1","up"
"PRC1","up"
"ANLN","up"
"CDK5RAP2","up"
"SMC3","up"
"TUBGCP2","up"
"ESPL1","up"
"MAP1S","up"
"ARHGAP27","up"
"DOCK4","up"
"SAC3D1","up"
"INCENP","up"
"ARHGAP5","up"
"GSN","up"
"NET1","up"
"LRPPRC","up"
"RABGAP1","up"
"FLNB","up"
"ARAP3","up"
"FGD4","up"
"ABR","up"
"CENPJ","up"
"NCK1","up"
"CENPF","up"
"KIF20B","up"
"WASF2","up"
"MYH10","up"
"CENPE","up"
"CYTH2","up"
"MID1","up"
"KLC1","up"
"MARK4","up"
"ARL8A","up"
"CEP57","up"
"UXT","up"
"ARHGAP4","up"
"CDC42EP4","up"
"SASS6","up"
"LATS1","up"
"OPHN1","up"
"WASL","up"
"MAP3K11","up"
"SOS1","up"
"ABL1","up"
"TIAM1","up"
"KIF1B","up"
"ITSN1","up"
"SHROOM1","up"
"NCK2","up"
"DLGAP5","up"
"BCR","up"
"RANBP9","up"
"EPB41L2","up"
"9-Sep","up"
"KATNA1","up"
"TUBD1","up"
"TPX2","up"
"KIF3C","up"
"SHROOM2","up"
"TUBGCP6","up"
"SPTAN1","up"
"PALLD","up"
"ARFIP2","up"
"KNTC1","up"
"HOOK3","up"
"SUN2","up"
"MID1IP1","up"
"DLG1","up"
"FLNA","up"
"ARHGAP10","up"
"CDC42BPA","up"
"ARHGEF12","up"
"MARCKS","up"
"NIN","up"
"PCM1","up"
"RALBP1","up"
"EZR","up"
"SSH2","up"
"CDK1","up"
"RAB3GAP1","up"
"FARP1","up"
"SYNPO","up"
"RHOF","up"
"ECT2","up"
"EPB41","up"
"RAPGEF6","up"
"KIF22","up"
"PCGF5","up"
"STAU1","up"
"ARHGDIA","up"
"AURKA","up"
"FBXO5","up"
"NUSAP1","up"
"PXN","up"
"BCAR1","up"
"CD2AP","up"
"AKAP13","up"
"HDAC6","up"
"AZI1","up"
"LLGL1","up"
"ATG4B","up"
"PCNT","up"
"ALMS1","up"
"CRIPAK","up"
"KPTN","up"
"DST","up"
"KIFAP3","up"
"PPP4R2","up"
"ARHGAP29","up"
"RASAL2","up"
"CCNB2","up"
"PIF1","up"
"RASA2","up"
"NEDD9","up"
"SMC1A","up"
"ACTN4","up"
"PKD2","up"
"CLIP2","up"
"CDC42","up"
"NDC80","up"
"TLK1","up"
"TAOK2","up"
"TBCD","up"
"CAPZB","up"
"DOCK2","up"
"CTTN","up"
"SMC4","up"
"ARFGEF1","up"
"TUBA4A","up"
"LMNB1","up"
"ABI1","up"
"ROCK1","up"
"CEP192","up"
"BUB1","up"
"GEMIN4","up"
"PLEKHG2","up"
"RICTOR","up"
"BCL2L11","up"
"DYNC1H1","up"
"FSCN1","up"
"ARHGEF7","up"
"DYNLL2","up"
"MYO1E","up"
"BIN1","up"
"NOTCH2","up"
"RFC1","up"
"PDLIM5","up"
"RHOT2","up"
"SORBS2","up"
"CDC42EP1","up"
"VCL","up"
"CLIP1","up"
"STK38L","up"
"YWHAE","up"
"RAPGEF5","up"
"CEP72","up"
"CSNK1D","up"
