"Gene","34"
"ACTA1","up"
"TNNI2","up"
"MYL1","up"
"TNNC1","up"
"TNNC2","up"
"MYH3","up"
"MYLPF","up"
"TNNT3","up"
"TNNT2","up"
"CASQ2","up"
"ACTC1","up"
"MYOM1","up"
"MYL4","up"
"MYBPH","up"
"MYH7","up"
"MYH8","up"
"ACTN2","up"
"TNNI1","up"
"CRYAB","up"
"SGCG","up"
"HRC","up"
"TNNT1","up"
"DES","up"
"MYOZ1","up"
"RYR1","up"
"CSRP3","up"
"ADAM12","up"
"ATP2A1","up"
"CKM","up"
"SVIL","up"
"MYOM2","up"
"MYL6B","up"
"TPM2","up"
"MYL2","up"
"CKMT2","up"
"BIN1","up"
"MYH1","up"
"ENO3","up"
"FLII","up"
"FXYD1","up"
"TPM3","up"
"DMD","up"
"IGFBP3","up"
"CHRNB1","up"
"SPEG","up"
"FHL1","up"
"ACTN3","up"
"TCAP","up"
"MYLK","up"
"MYL3","up"
"PYGM","up"
"LDB3","up"
"COX6A2","up"
"FABP3","up"
"MYL7","up"
"ITGB5","up"
"CHRNA1","up"
"SSPN","up"
"COL3A1","up"
"KCNH1","up"
"GJA5","up"
"MYF6","up"
"MYH2","up"
"MAPK12","up"
"PGAM2","up"
"MYOG","up"
"MYH4","up"
"AEBP1","up"
"HBEGF","up"
"MEF2C","up"
"NOS1","up"
"CNN3","up"
"IGFBP7","up"
"CACNA1H","up"
"GSN","up"
"CACNG1","up"
"PPFIA4","up"
"MB","up"
"SPHK1","up"
"SCHIP1","up"
"MEF2D","up"
"SMTN","up"
"CDKN1A","up"
"GAA","up"
"TPD52L1","up"
"HSPB2","up"
"SGCA","up"
"BDKRB2","up"
"COX7A1","up"
"COL4A2","up"
"PLXNB2","up"
"CTF1","up"
"COL15A1","up"
"KCNH2","up"
"AGRN","up"
"MYO1C","up"
"SIRT2","up"
"SGCD","up"
"SORBS1","up"
"VIPR1","up"
"FGF2","up"
"FKBP1B","up"
"TEAD4","up"
"CASQ1","up"
"KLF5","up"
"PDLIM7","up"
"AK1","up"
"TAGLN","up"
"RIT1","up"
"MEF2A","up"
"ANKRD2","up"
"AKT2","up"
"LAMA2","up"
"ST5","up"
"IFRD1","up"
"NCAM1","up"
"SYNGR2","up"
"PICK1","up"
"COL6A3","up"
"CRAT","up"
"DMPK","up"
"MYH11","up"
"MYH9","up"
"IGF1","up"
"CKB","up"
"FST","up"
"GPX3","up"
"PVALB","up"
"PTP4A3","up"
"ITGB1","up"
"HSPB8","up"
"ACHE","up"
"CHRNG","up"
"PKIA","up"
"NAV2","up"
"HDAC5","up"
"ATP6AP1","up"
"CLU","up"
"ACSL1","up"
"COL1A1","up"
"MRAS","up"
"PDE4DIP","up"
"AGL","up"
"ERBB3","up"
"GABARAPL2","up"
"CAV3","up"
"BHLHE40","up"
"PPP1R3C","up"
"LARGE","up"
"LPIN1","up"
"CDH13","up"
"NQO1","up"
"PRNP","up"
"PSEN2","up"
"DAPK2","up"
"LSP1","up"
"SLC6A8","up"
"REEP1","up"
"EIF4A2","up"
"SH2B1","up"
"MYBPC3","up"
"ITGA7","up"
"SPTAN1","up"
"SORBS3","up"
"PC","up"
"SCD","up"
"GNAO1","up"
"STC2","up"
"CFD","up"
"RB1","up"
"BAG1","up"
"ABLIM1","up"
"PTGIS","up"
"MAPRE3","up"
"OCEL1","up"
"SH3BGR","up"
"NOTCH1","up"
"TSC2","up"
"TGFB1","up"
"FDPS","up"
"CAMK2B","up"
"EPHB3","up"
"GADD45B","up"
"APP","up"
"APLNR","up"
"ITGB4","up"
"SOD3","up"
"FOXO4","up"
"EFS","up"
"PFKM","up"
"COL6A2","up"
"DTNA","up"
"KIFC3","up"
"SPARC","up"
"SPDEF","up"
"SLN","up"
"WWTR1","up"
"CD36","up"
"ADCY9","up"
"APOD","up"
