"Gene","36"
"NDUFS3","up"
"UQCRB","up"
"NDUFS2","up"
"SDHA","up"
"UQCRC1","up"
"NDUFA9","up"
"NDUFS4","up"
"NDUFS1","up"
"NDUFA2","up"
"NDUFS8","up"
"SDHB","up"
"NNT","up"
"ATP5O","up"
"ATP5G3","up"
"NDUFS7","up"
"ATP5A1","up"
"NDUFV1","up"
"COX5B","up"
"UQCRH","up"
"NDUFA1","up"
"ATP5C1","up"
"ATP5B","up"
"COX7B","up"
"SDHD","up"
"CYCS","up"
"NDUFA6","up"
"NDUFAB1","up"
"COX8A","up"
"ACO2","up"
"ATP5G1","up"
"CYC1","up"
"NDUFB6","up"
"ATP5E","up"
"COX5A","up"
"UQCRC2","up"
"COX6A1","up"
"ATP5D","up"
"COX6C","up"
"ATP5J","up"
"NDUFB3","up"
"IDH3B","up"
"OGDH","up"
"NDUFB8","up"
"SURF1","up"
"COX6B1","up"
"NDUFB5","up"
"NDUFA4","up"
"NDUFB1","up"
"COX4I1","up"
"COX7C","up"
"UQCRFS1","up"
"SDHC","up"
"ATP6V1F","up"
"COX7A2","up"
"SUCLG1","up"
"NDUFS6","up"
"NDUFA7","up"
"FH","up"
"NDUFV2","up"
"OXA1L","up"
"NDUFC1","up"
"UQCR11","up"
"NDUFA5","up"
"CS","up"
"ATP6V1G1","up"
"ATP5F1","up"
"HCCS","up"
"HADHB","up"
"ATP5H","up"
"PDHA1","up"
"NDUFA8","up"
"DLD","up"
"OPA1","up"
"SLC25A11","up"
"ATP5I","up"
"PDHB","up"
"ATP5J2","up"
"NDUFB7","up"
"IDH2","up"
"MTX2","up"
"VDAC3","up"
"MDH1","up"
"ATP5G2","up"
"IMMT","up"
"MDH2","up"
"SLC25A3","up"
"ATP6V1D","up"
"VDAC2","up"
"ACADM","up"
"COX7A2L","up"
"TIMM17A","up"
"ATP6V1E1","up"
"NDUFA3","up"
"SLC25A6","up"
"IDH3G","up"
"ACADVL","up"
"ETFA","up"
"TIMM9","up"
"IDH3A","up"
"TIMM8B","up"
"ATP6AP1","up"
"TIMM13","up"
"UQCRQ","up"
"ABCB7","up"
"VDAC1","up"
"ATP5L","up"
"PHB2","up"
"DECR1","up"
"SUCLA2","up"
"GOT2","up"
"DLAT","up"
"ATP6V1H","up"
"NDUFB2","up"
"FDX1","up"
"HADHA","up"
"ATP6V1C1","up"
"MAOB","up"
"NDUFB4","up"
"UQCR10","up"
"ETFDH","up"
"GPX4","up"
"PDHX","up"
"MFN2","up"
"AIFM1","up"
"ACAA2","up"
"ETFB","up"
"COX11","up"
"ECHS1","up"
"PMPCA","up"
"ATP6V0B","up"
"SLC25A5","up"
"DLST","up"
"COX15","up"
"CYB5A","up"
"ALAS1","up"
"SLC25A4","up"
"CPT1A","up"
"SLC25A20","up"
"MTRR","up"
"COX17","up"
"CYB5R3","up"
"TOMM22","up"
"ACAT1","up"
"MRPS11","up"
"ATP6V0C","up"
"PDK4","up"
"TIMM10","up"
"LDHA","up"
"ECI1","up"
"MRPL11","up"
"FXN","up"
"MRPS12","up"
"COX10","up"
"RHOT1","up"
"ACAA1","up"
"ACADSB","up"
"LDHB","up"
"MRPS30","up"
"ATP1B1","up"
"BDH2","up"
"SLC25A12","up"
"TIMM50","up"
"MRPL34","up"
"ISCA1","up"
"MRPL35","up"
"IDH1","up"
"HSPA9","up"
"MRPL15","up"
"MRPS15","up"
"TOMM70A","up"
"TCIRG1","up"
"ISCU","up"
"POLR2F","up"
"NQO2","up"
"NDUFC2","up"
"MRPS22","up"
"POR","up"
"ATP6V0E1","up"
"PHYH","up"
"BRP44L","up"
"GPI","up"
"AFG3L2","up"
"HSD17B10","up"
"CASP7","up"
"PRDX3","up"
"MGST3","up"
"HTRA2","up"
"BCKDHA","up"
"LRPPRC","up"
"RETSAT","up"
"ECH1","up"
"RHOT2","up"
"BAX","up"
"MTRF1","up"
"GLUD1","up"
"SUPV3L1","up"
"GRPEL1","up"
"PDP1","up"
"ALDH6A1","up"
"OAT","up"
