"Gene","37"
"CDKN1A","up"
"BTG2","up"
"MDM2","up"
"CCNG1","up"
"FAS","up"
"TOB1","up"
"GADD45A","up"
"PHLDA3","up"
"TAP1","up"
"CDKN2B","up"
"SFN","up"
"ZMAT3","up"
"DDB2","up"
"EI24","up"
"PERP","up"
"DDIT4","up"
"ATF3","up"
"BAX","up"
"SESN1","up"
"FDXR","up"
"PIDD","up"
"SAT1","up"
"CDKN2A","up"
"AEN","up"
"PPM1D","up"
"FOXO3","up"
"BTG1","up"
"TXNIP","up"
"SLC19A2","up"
"IER3","up"
"TP53","up"
"NOTCH1","up"
"RRAD","up"
"DCXR","up"
"NINJ1","up"
"FOS","up"
"S100A10","up"
"FBXW7","up"
"PLK3","up"
"XPC","up"
"AK1","up"
"TRIAP1","up"
"BAK1","up"
"CCND2","up"
"APAF1","up"
"PDGFA","up"
"NDRG1","up"
"RALGDS","up"
"SERPINB5","up"
"DGKA","up"
"CYFIP2","up"
"KLF4","up"
"IP6K2","up"
"ADA","up"
"TNFSF9","up"
"KLK8","up"
"PRKAB1","up"
"STOM","up"
"SOCS1","up"
"PLK2","up"
"CASP1","up"
"RCHY1","up"
"PCNA","up"
"RPS27L","up"
"RB1","up"
"PPP1R15A","up"
"POLH","up"
"RAB40C","up"
"ERCC5","up"
"CDH13","up"
"DDIT3","up"
"TGFB1","up"
"FUCA1","up"
"HIST3H2A","up"
"TP63","up"
"HSPA4L","up"
"EPHX1","up"
"ABHD4","up"
"H2AFJ","up"
"TRAF4","up"
"CTSF","up"
"IER5","up"
"TAX1BP3","up"
"TSC22D1","up"
"RGS16","up"
"HRAS","up"
"PVT1","up"
"ZFP36L1","up"
"SDC1","up"
"WRAP73","up"
"RAP2B","up"
"ADCK3","up"
"PLXNB2","up"
"HEXIM1","up"
"PROCR","up"
"SPHK1","up"
"NOL8","up"
"DEF6","up"
"SP1","up"
"JAG2","up"
"CCP110","up"
"DRAM1","up"
"RPL18","up"
"CEBPA","up"
"KIF13B","up"
"MXD1","up"
"TRAFD1","up"
"OSGIN1","up"
"ANKRA2","up"
"HBEGF","up"
"RAD51C","up"
"ITGB4","up"
"TRIB3","up"
"INHBB","up"
"VAMP8","up"
"VWA5A","up"
"ABAT","up"
"CTSD","up"
"PTPRE","up"
"HINT1","up"
"ALOX15B","up"
"VDR","up"
"IKBKAP","up"
"WWP1","up"
"NUPR1","up"
"TCN2","up"
"CDKN2AIP","up"
"POM121","up"
"ZNF365","up"
"EPHA2","up"
"JUN","up"
"MAPKAPK3","up"
"SLC7A11","up"
"SERTAD3","up"
"IRAK1","up"
"ABCC5","up"
"UPP1","up"
"CD81","up"
"LIF","up"
"RPL36","up"
"FAM162A","up"
"RNF19B","up"
"CDK5R1","up"
"STEAP3","up"
"PITPNC1","up"
"SLC35D1","up"
"TPRKB","up"
"RRP8","up"
"IL1A","up"
"PMM1","up"
"TPD52L1","up"
"IFI30","up"
"GM2A","up"
"RPS12","up"
"EPS8L2","up"
"TM4SF1","up"
"BLCAP","up"
"MKNK2","up"
"CD82","up"
"GNB2L1","up"
"ST14","up"
"TCHH","up"
"HDAC3","up"
"CCNK","up"
"RHBDF2","up"
"NUDT15","up"
"TGFA","up"
"ISCU","up"
"LDHB","up"
"TNNI1","up"
"FGF13","up"
"RXRA","up"
"APP","up"
"F2R","up"
"CLCA2","up"
"CGRRF1","up"
"CSRNP2","up"
"ACVR1B","up"
"BMP2","up"
"GPX2","up"
"KRT17","up"
"TM7SF3","up"
"ZBTB16","up"
"PTPN14","up"
"TSPYL2","up"
"SLC3A2","up"
"S100A4","up"
"GLS2","up"
"CCND3","up"
"PRMT2","up"
"NHLH2","up"
"BAIAP2","up"
"RETSAT","up"
"LRMP","up"
"HIST1H1C","up"
"DNTTIP2","up"
"MXD4","up"
"SEC61A1","up"
"HMOX1","up"
"RAD9A","up"
