"Gene","44"
"TGFBR1","up"
"SMAD7","up"
"TGFB1","up"
"SMURF2","up"
"SMURF1","up"
"BMPR2","up"
"SKIL","up"
"SKI","up"
"ACVR1","up"
"PMEPA1","up"
"NCOR2","up"
"SERPINE1","up"
"JUNB","up"
"SMAD1","up"
"SMAD6","up"
"PPP1R15A","up"
"TGIF1","up"
"FURIN","up"
"SMAD3","up"
"FKBP1A","up"
"MAP3K7","up"
"BMPR1A","up"
"CTNNB1","up"
"HIPK2","up"
"KLF10","up"
"BMP2","up"
"ENG","up"
"APC","up"
"PPM1A","up"
"XIAP","up"
"CDH1","up"
"ID1","up"
"LEFTY2","up"
"CDKN1C","up"
"TRIM33","up"
"RAB31","up"
"TJP1","up"
"SLC20A1","up"
"CDK9","up"
"ID3","up"
"NOG","up"
"ARID4B","up"
"IFNGR2","up"
"ID2","up"
"PPP1CA","up"
"SPTBN1","up"
"WWTR1","up"
"BCAR3","up"
"THBS1","up"
"FNTA","up"
"HDAC1","up"
"UBE2D3","up"
"LTBP2","up"
"RHOA","up"
