"Gene","46"
"ATF4","up"
"HERPUD1","up"
"PARN","up"
"EXOSC4","up"
"HSP90B1","up"
"XBP1","up"
"EXOSC9","up"
"HSPA5","up"
"ATF3","up"
"EXOSC1","up"
"EXOSC5","up"
"ASNS","up"
"ARFGAP1","up"
"WFS1","up"
"SRPRB","up"
"DNAJB9","up"
"TSPYL2","up"
"NFYA","up"
"CALR","up"
"KHSRP","up"
"DNAJC3","up"
"EXOSC2","up"
"NOP14","up"
"ATF6","up"
"HYOU1","up"
"RRP9","up"
"NOP56","up"
"CXXC1","up"
"IGFBP1","up"
"CNOT4","up"
"DCP2","up"
"PDIA6","up"
"ATP6V0D1","up"
"PREB","up"
"SEC31A","up"
"GOSR2","up"
"SERP1","up"
"NFYB","up"
"NHP2","up"
"DCTN1","up"
"SLC7A5","up"
"SSR1","up"
"EDEM1","up"
"EDC4","up"
"EIF2AK3","up"
"MTHFD2","up"
"SRPR","up"
"NOLC1","up"
"ERN1","up"
"FKBP14","up"
"ZBTB17","up"
"WIPI1","up"
"YIF1A","up"
"CCL2","up"
"DKC1","up"
"EIF4EBP1","up"
"EIF4A1","up"
"EIF2S1","up"
"TATDN2","up"
"XPOT","up"
"LSM4","up"
"CHAC1","up"
"STC2","up"
"PDIA5","up"
"OBFC2A","up"
"LSM1","up"
"SDAD1","up"
"EIF4A2","up"
"EIF4E","up"
"IARS","up"
"DDX10","up"
"GEMIN4","up"
"TARS","up"
"ALDH18A1","up"
"DDIT4","up"
"HSPA9","up"
"SEC11A","up"
"EIF4A3","up"
"POP4","up"
"ERO1L","up"
"CEBPG","up"
"BAG3","up"
"KDELR3","up"
"CEBPB","up"
"CNOT2","up"
"SHC1","up"
"SPCS3","up"
"H2AFX","up"
"SLC1A4","up"
"RPS14","up"
"NPM1","up"
"CNOT6","up"
"CKS1B","up"
"PSAT1","up"
"EIF4G1","up"
"YWHAZ","up"
"SLC30A5","up"
"SKIV2L2","up"
"KIF5B","up"
"DCP1A","up"
"IFIT1","up"
"IMP3","up"
"SPCS1","up"
"DNAJA4","up"
"VEGFA","up"
"TTC37","up"
"TUBB2A","up"
"FUS","up"
"EXOSC10","up"
"EEF2","up"
"EXOC2","up"
"PAIP1","up"
"BANF1","up"
