Gene,48
NXF1,up
SLC6A8,up
BAK1,up
CDC5L,up
HSPA2,up
POLR2H,up
ALAS1,up
TUBA4A,up
C4BPB,up
CCNE1,up
EPHX1,up
GRPEL1,up
ICAM1,up
FEN1,up
ARRB2,up
JUNB,up
CTSL2,up
DGAT1,up
ATF3,up
CASP3,up
RASGRP1,up
TMBIM6,up
FOS,up
TAP1,up
E2F5,up
RAB27A,up
CCND3,up
SLC25A4,up
SPR,up
CDKN2B,up
SHOX2,up
OLFM1,up
IGFBP2,up
LYN,up
CLTB,up
BCL2L11,up
LHX2,up
NFKBIA,up
MSX1,up
H2AFX,up
NR4A1,up
GLS,up
CDC34,up
MMP14,up
STK25,up
PDAP1,up
ABCB1,up
BSG,up
SEPW1,up
IRF1,up
RXRB,up
TFRC,up
PPIF,up
CDKN1C,up
HLA-F,up
CREG1,up
APOM,up
BMP2,up
TGFBRAP1,up
NAT1,up
CYB5R1,up
RRAD,up
POLE3,up
IL6,up
YKT6,up
ACAA1,up
CLCN2,up
EIF2C2,up
SOD2,up
PPP1R2,up
RHOB,up
RET,up
PDLIM3,up
EPCAM,up
DNAJA1,up
SULT1A1,up
CHKA,up
CYP1A1,up
ATP6V1F,up
CDO1,up
ALDOA,up
NPTXR,up
EIF2S3,up
CNP,up
GRINA,up
BID,up
POLG2,up
IL6ST,up
HYAL2,up
FOSB,up
MGAT1,up
NKX2-5,up
PPAT,up
FURIN,up
MRPL23,up
HTR7,up
CXCL2,up
KLHDC3,up
PRPF3,up
DNAJB1,up
AP2S1,up
PSMC3,up
TST,up
SIGMAR1,up
GCH1,up
BTG2,up
CEBPG,up
TARS,up
UROD,up
PARP2,up
BTG3,up
DLG4,up
CHRNA5,up
NPTX2,up
ATP6V1C1,up
AQP3,up
PLCL1,up
NUPL1,up
TYRO3,up
HMOX1,up
RPN1,up
BTG1,up
FMO1,up
ASNS,up
DDX21,up
KCNH2,up
COL2A1,up
MAOA,up
TCHH,up
CYB5B,up
HSPA13,up
GGH,up
GAL,up
NTRK3,up
PPT1,up
FGF18,up
FKBP4,up
STIP1,up
EIF5,up
ENO2,up
GPX3,up
PRKACA,up
PRKCD,up
STARD3,up
MARK2,up
SLC6A12,up
SQSTM1,up
PTPRD,up
MAPK8IP2,up
CDK2,up
ONECUT1,up
RFC4,up
CA2,up
TACR3,up
AMD1,up
HNRNPU,up
WIZ,up
CCK,up
TJP1,down
NFIB,down
TGFBR3,down
TFPI,down
MMP16,down
ABCC1,down
MAP2K5,down
AGGF1,down
PLCB4,down
MET,down
IRS1,down
PTPRM,down
AKT3,down
SIPA1L1,down
NR1D2,down
ATRN,down
ANXA2,down
ADD3,down
CDKN1B,down
ATXN1,down
CAP2,down
PRDM2,down
FAM179B,down
SDC2,down
SMAD3,down
SLC7A1,down
GCNT1,down
RUNX1,down
RND3,down
PPAP2B,down
NR3C1,down
YTHDC1,down
PPARG,down
LPHN2,down
DLG1,down
ATP2B4,down
NIPBL,down
PEX14,down
MYC,down
RASA2,down
FZD2,down
BMPR1A,down
LPAR1,down
PRKCA,down
MGMT,down
PRKCE,down
RXRA,down
LTBP1,down
LDLR,down
RBPMS,down
CACNA1A,down
RGS4,down
COL5A2,down
PTPN21,down
PRKAR2B,down
GJA1,down
BCKDHB,down
ATP5S,down
SERPINE1,down
AMPH,down
MIOS,down
CITED2,down
COL1A2,down
INSIG1,down
FYN,down
WDR37,down
ZMIZ1,down
PMP22,down
CDON,down
PIK3R3,down
NOTCH2,down
SYNJ2,down
SMAD7,down
MAP1B,down
PAPD7,down
PTEN,down
DYRK1A,down
NEK7,down
SPOP,down
F3,down
ERBB2,down
GRK5,down
DUSP1,down
VLDLR,down
CAV1,down
COL11A1,down
CDC42BPA,down
CDK13,down
SFMBT1,down
ADORA2B,down
BHLHE40,down
COL3A1,down
KCNMA1,down
SYNE1,down
IGF1R,down
CELF2,down
MTA1,down
EFEMP1,down
LAMC1,down
PHF3,down
SCAF8,down
VAV2,down
PIAS3,down
ACVR2A,down
NRP1,down
MRPS31,down
CYR61,down
DAB2,down
MAGI2,down
ANXA4,down
COL1A1,down
SCHIP1,down
DDAH1,down
PDGFRB,down
ATRX,down
KALRN,down
TGFBR2,down
PTGFR,down
ATP2C1,down
ARHGEF9,down
NFKB1,down
MGLL,down
FBLN5,down
PDLIM5,down
MAPK14,down
SRI,down
INPP4B,down
IGFBP5,down
ITGB3,down
BDNF,down
ID1,down
SNAI2,down
SCN8A,down
ATP2B1,down
FHL2,down
KIT,down
APBB2,down
PIK3CD,down
DLC1,down
MT1E,down
DBP,down
HAS2,down
SLC22A18,down
ICA1,down
