"Gene","49"
"MYC","up"
"CTNNB1","up"
"JAG2","up"
"NOTCH1","up"
"DLL1","up"
"AXIN2","up"
"PSEN2","up"
"FZD1","up"
"NOTCH4","up"
"LEF1","up"
"AXIN1","up"
"NKD1","up"
"WNT5B","up"
"CUL1","up"
"JAG1","up"
"MAML1","up"
"KAT2A","up"
"GNAI1","up"
"WNT6","up"
"PTCH1","up"
"NCOR2","up"
"DKK4","up"
"HDAC2","up"
"DKK1","up"
"TCF7","up"
"WNT1","up"
"NUMB","up"
"ADAM17","up"
"DVL2","up"
"PPARD","up"
"NCSTN","up"
"HDAC5","up"
"CCND2","up"
"FRAT1","up"
"CSNK1E","up"
"RBPJ","up"
"FZD8","up"
"TP53","up"
"SKP2","up"
"HEY2","up"
"HEY1","up"
"HDAC11","up"
