"Gene","50"
"CYP1A1","up"
"FAH","up"
"DCXR","up"
"CYP1A2","up"
"GSTA3","up"
"CYP2J2","up"
"CYP27A1","up"
"ADH1C","up"
"UGDH","up"
"ASL","up"
"NQO1","up"
"ALAS1","up"
"GSTM4","up"
"CYP2C18","up"
"PTS","up"
"CYB5A","up"
"ACOX2","up"
"EPHX1","up"
"LCAT","up"
"SLC35D1","up"
"GSS","up"
"FMO3","up"
"IDH1","up"
"AKR1C3","up"
"SLC22A1","up"
"GSTO1","up"
"ARG1","up"
"CDO1","up"
"FMO1","up"
"ALDH9A1","up"
"POR","up"
"NDRG2","up"
"UPB1","up"
"ECH1","up"
"PTGES","up"
"PDK4","up"
"AHCY","up"
"COMT","up"
"AOX1","up"
"CFB","up"
"DDAH2","up"
"HGFAC","up"
"F11","up"
"CYP26A1","up"
"MCCC2","up"
"SERPINA6","up"
"GNMT","up"
"BLVRB","up"
"HACL1","up"
"MAOA","up"
"KYNU","up"
"DHPS","up"
"SERPINE1","up"
"SLC6A12","up"
"GCH1","up"
"DHRS7","up"
"PAPSS2","up"
"ALDH2","up"
"HSD11B1","up"
"SLC35B1","up"
"KARS","up"
"CA2","up"
"LPIN2","up"
"CAT","up"
"CYP2S1","up"
"RAP1GAP","up"
"FBP1","up"
"RBP4","up"
"GCKR","up"
"CDA","up"
"MTHFD1","up"
"ADH7","up"
"DHRS1","up"
"VNN1","up"
"CNDP2","up"
"SLC6A6","up"
"FETUB","up"
"CROT","up"
"GAD1","up"
"AKR1C2","up"
"DAK","up"
"IGF1","up"
"SSR3","up"
"GABARAPL1","up"
"TMBIM6","up"
"CD36","up"
"CES1","up"
"SHMT2","up"
"TMEM176B","up"
"GSTT2","up"
"PLG","up"
"HMOX1","up"
"SPINT2","up"
"ALDH3A1","up"
"GSR","up"
"ABHD6","up"
"XDH","up"
"PPARD","up"
"ELOVL5","up"
"CYP4F2","up"
"RETSAT","up"
"CYFIP2","up"
"PINK1","up"
"GCLC","up"
"ESR1","up"
"PMM1","up"
"TDO2","up"
"MT2A","up"
"ATP2A2","up"
"DDT","up"
"FABP1","up"
"ACP2","up"
"ABCD2","up"
"G6PC","up"
"DDC","up"
"ACOX3","up"
"SAR1B","up"
"FBLN1","up"
"ADH5","up"
"CRP","up"
"ABCC2","up"
"ETS2","up"
"NPC1","up"
"CASP6","up"
"BPHL","up"
"IL1R1","up"
"ENTPD5","up"
"TNFRSF1A","up"
"IGFBP4","up"
"PYCR1","up"
"CSAD","up"
"VTN","up"
"ID2","up"
"ETFDH","up"
"HRG","up"
"TYR","up"
"UPP1","up"
"BCAR1","up"
"CBR1","up"
"APOE","up"
"SLC12A4","up"
"TMEM97","up"
"SLC46A3","up"
"PTGDS","up"
"MPP2","up"
"PTGR1","up"
"AQP9","up"
"EPHA2","up"
"PSMB10","up"
"FAS","up"
"ACOX1","up"
"GART","up"
"HPRT1","up"
"PGD","up"
"ABCC3","up"
"SMOX","up"
"TTPA","up"
"HES6","up"
"GCNT2","up"
"MAN1A1","up"
"IGFBP1","up"
"ITIH4","up"
"PROS1","up"
"TPST1","up"
"LEAP2","up"
"NFS1","up"
"PGRMC1","up"
"CYP17A1","up"
"ARPP19","up"
"SERTAD1","up"
"ARG2","up"
"HNF4A","up"
"REG1A","up"
"CCL25","up"
"PEMT","up"
"ACO2","up"
"LONP1","up"
"NMT1","up"
"PTGES3","up"
"F10","up"
"TAT","up"
"6-Mar","up"
"JUP","up"
"ACP1","up"
"MBL2","up"
"TGFB2","up"
"ENPEP","up"
"HSD17B2","up"
"ANGPTL3","up"
"PC","up"
"PDLIM5","up"
"CYP2E1","up"
"BCAT1","up"
"ATOH8","up"
"SLC1A5","up"
"IRF8","up"
"NINJ1","up"
"AP4B1","up"
"ACSM1","up"
"ITIH1","up"
