Gene,avg_logFC
CXCL1,up
IL8,up
PMEPA1,up
C15orf48,up
SOD2,up
CCL2,up
SAT1,up
MT2A,up
CDH2,up
LCN2,up
CXCL3,up
TNFAIP2,up
CYP24A1,up
SERPINE2,up
PTGES,up
CTSB,up
NELFB,up
PLAU,up
MALAT1,up
NPC2,up
AKR1B1,up
PCED1B,up
RPL23,up
ASNA1,up
DERL1,up
PTPN14,up
EIF3M,up
C8orf4,up
FTH1,up
RIC8A,up
CNN3,up
TXN,up
VAT1,up
RAB1B,up
RPL17,up
RPS27,up
RPL10,up
RPS19,up
MT-CO1,down
SLPI,down
ALDH1A1,down
LDHA,down
CPLX2,down
AURKAIP1,down
PSMB4,down
ATP5A1,down
TUBB,down
MIF,down
HSPA9,down
TUFM,down
POLR2L,down
SLC7A5,down
GUK1,down
ARPP19,down
PRDX5,down
TOMM40,down
S100A16,down
CYCS,down
PSMD4,down
MRPS16,down
ATPIF1,down
AP000350.4,down
NDUFA3,down
RAN,down
ACLY,down
TRAPPC2L,down
TPM2,down
ATP5G1,down
PGAM1,down
FDPS,down
MINOS1,down
RBP4,down
ATP5J,down
DCTPP1,down
PHB,down
MRPL23,down
COX8A,down
MDH2,down
TGM2,down
AKR1C2,down
IGFBP2,down
TM4SF4,down
TSKU,down
ATP5D,down
C19orf33,down
GAPDH,down
FGG,down
MRP63,down
NTS,down
CNFN,down
ALG3,down
FGB,down
FGA,down
CCND1,down
FAM195A,down
HMGN3,down
SNHG9,down
MMP24-AS1,down
CCDC85B,down
GPX2,down
PHLDA2,down
CISD3,down
BOLA2B,down
PDAP1,down
U2AF2,down
AGR2,down
TIMM8B,down
NDUFB3,down
RP11-44N21.1,down
MTRNR2L8,down
SNX5,down
VTN,down
CYC1,down
RP5-940J5.9,down
TAF10,down
SLC22A18,down
MUC5B,down
MUC5AC,down
DEGS2,down
ASL,down
CHCHD10,down
HNF4A,down
TM4SF20,down
KRT8,down
BCYRN1,down
KRT18,down
RP11-728F11.3,down
FXYD2,down
