"Gene","Regulation","Cluster"
"Selp","up",13
"Ctgf","up",13
"Sele","up",13
"Selenom","up",13
"Spon1","down",13
"Cytl1","down",13
"Ccdc153","down",13
"Ccl21a","down",13
"Rflnb","up",13
"Igfbp7","up",13
"Nostrin","down",13
"Igfbp2","down",13
"Lyve1","down",13
"Prelp","down",13
"Sparc","up",13
"Slc15a3","down",13
"Nkx2-1","down",13
"Myzap","down",13
"Gclc","down",13
"Aqp5","down",13
"Piezo2","up",13
"C3","down",13
"Hc","down",13
"Ly6d","down",13
"Snhg18","down",13
"Clec3b","down",13
"Tm4sf1","up",13
"Pid1","down",13
"Cd34","up",13
"Clec4n","down",13
"Ppp1r14c","down",13
"Sftpb","down",13
"Mecom","up",13
"Gstm2","down",13
"Hsd11b1","down",13
"Camp","down",13
"Ccl17","down",13
"Ear2","down",13
"Serpine1","down",13
"Slc7a11","down",13
"Cryab","down",13
"Pmaip1","down",13
"Shroom3","down",13
"Nckap5","down",13
"Wfdc21","down",13
"Fabp1","down",13
"Cadm1","down",13
"Pxdc1","down",13
"Ms4a4c","down",13
"Cavin3","up",13
"Nkd1","down",13
"Hp","down",13
"Gprc5a","down",13
"Ifitm1","down",13
"Rnase6","down",13
"Fxyd1","down",13
"Mettl7a1","down",13
"Cd81","up",13
"Pdgfra","down",13
"Akap2","up",13
"Sox11","down",13
"Smad6","down",13
"Apoc1","down",13
"Igha","down",13
"Naaa","down",13
"Cox4i2","down",13
"Igfbp5","down",13
"Cdc14a","up",13
"Mid1ip1","down",13
"Cd3e","down",13
"Mal","up",13
"Lck","down",13
"S100g","down",13
"Acta2","up",13
"Ccl9","down",13
"Cxcl16","down",13
"Fam167b","up",13
"Krt7","down",13
"Hba-a2","down",13
"Tmem243","down",13
"Acsl4","down",13
"Cyp4b1","down",13
"Tnfaip2","down",13
"Esam","up",13
"Klhdc4","down",13
"Hmcn1","down",13
"S100a4","down",13
"Ifit1","up",13
"Maf","down",13
"Plvap","up",13
"Hdc","down",13
"Chil3","down",13
"Aqp1","up",13
"H2afv","up",13
"Mfap4","down",13
"Mt1","down",13
"Angptl4","down",13
"Cd300ld","down",13
"Npw","down",13
"Fasn","down",13
"Cldn18","down",13
"Vegfa","down",13
"Fhl1","down",13
"Ms4a6b","down",13
"Hbb-bt","down",13
"Rgs1","down",13
"Dcxr","down",13
"Trbc2","down",13
"Lamp3","down",13
"Clec1a","down",13
"Furin","down",13
"Tspan7","down",13
"Il7r","down",13
"Stmn2","down",13
"Txk","down",13
"Bcl2a1b","down",13
"Il1b","down",13
"Chil1","down",13
"Cxcl10","up",13
"Nrgn","up",13
"Itga8","down",13
"S100a9","down",13
"Tmem100","down",13
"Sec14l3","down",13
"Bace2","up",13
"Lbh","down",13
"Lgals3","down",13
"Lat","down",13
"Col18a1","up",13
"Krt19","down",13
"Tyms","up",13
"Slc34a2","down",13
"Fth1","down",13
"Egfl7","up",13
"Procr","up",13
"Jchain","down",13
"Stc1","up",13
"Pglyrp1","down",13
"Pcp4l1","up",13
"Igf1","up",13
"Prex2","up",13
"Irx3","up",13
"Casz1","down",13
"Bcl2a1d","down",13
"Tlr2","down",13
"Gucy1a1","down",13
"Krt18","down",13
"Pycard","down",13
"Tsc22d1","up",13
"Cd8b1","down",13
"Nupr1","down",13
"Fn1","down",13
"Ppp1r14a","down",13
"Trbc1","down",13
"Mgst3","down",13
"Itga1","down",13
"Abcg1","down",13
"Pcdh17","up",13
"Ces1d","down",13
"Igfbp6","down",13
"Hpgd","down",13
"Scgb3a2","down",13
"Cpm","down",13
"Aldh1a1","down",13
"Cidec","down",13
"Atp1b1","down",13
"H2-DMa","down",13
"Wfdc2","down",13
"Lpl","down",13
"Il2rb","down",13
"Plet1","down",13
"Cox6b2","down",13
"Hopx","down",13
"Rgcc","up",13
"Apln","up",13
"Ace","down",13
"Pde5a","down",13
"Cbr2","down",13
"Clec14a","up",13
"Ctss","down",13
"Cebpd","down",13
"Fstl1","up",13
"Cdkn1a","up",13
"Ndrg1","up",13
"Il1rn","down",13
"Tmcc2","down",13
"Olr1","down",13
"Hspa1b","down",13
"Irf8","down",13
"Creg1","down",13
"Slpi","down",13
"Ccl6","down",13
"Lyz2","down",13
"Rtkn2","down",13
"Cavin1","down",13
"Alcam","down",13
"Tppp3","down",13
"Serpinh1","up",13
"Ptn","up",13
"Hmgn2","down",13
"Dcn","down",13
"Hist1h2bc","down",13
