Gene,Regulation_in_hypoxia
PTGIS,up
EGLN3,up
NDRG1,up
PTGS1,up
EGLN1,up
PAM,up
ERO1L,up
TXNIP,up
PAM,up
LOXL2,up
LOXL2,up
P4HA2,up
COL1A2,up
PLOD2,up
COL5A1,up
PRHA1,up
CCOL18A1,up
COL9A1,up
COL4A1,up
COL4A2,up
PLOD2,up
ANPTL4,up
STC1,up
INHBA,up
EGF,up
INHBE,up
STC2,up
EDN1,up
GDF10,up
IGFBP3,up
CXCL1,up
VEGFC,up
RLN1,up
PDGFB,up
VEGF,up
PGF,up
ADM,up
PDGFB,up
GABRP,up
CMKOR1,up
VLDLR,up
PTPRR,up
CUBN,up
CXCR4,up
ADORA2A,up
NPR1,up
INSR,up
PTPRB,up
ACVR1B,up
PTRRR,up
PRPRB,up
ITM2A,up
EPOR,up
CDH2,up
TNFRSF10B,up
TNFRSF14,up
OPN3,up
LEPR,up
PTPRF,up
ITPR2,up
AXL,up
LEPR,up
GRK5,up
CDKN1C,up
PLCG2,up
ARK5,up
PDZK3,up
CDKN1C,up
ENPP1,up
SSB1,up
DUSP6,up
PELI2,up
RPS6KA2,up
AK3,up
RHOBTB1,up
CASK,up
CKIP-1,up
RGS3,up
LIMS1,up
AK3,up
RASSF2,up
FAD104,up
WASF2,up
GADD45B,up
CCNG2,up
CDK11,up
TRIO,up
RRAS,up
MIDOR1,up
FKBP9,up
MAFF,up
PPARG,up
TCF8,up
JMJD1,up
ZBTB1,up
HIF3A,up
SOX4,up
BHLHB2,up
RAI,up
NPAS2,up
NOTCH4,up
MXI1,up
MEF2A,up
TLE1,up
HIVEP2,up
TCF7L1,up
TZNF292,up
SHOX2,up
SOX4,up
TXNIP,up
HES1,up
ZHX2,up
BCL6,up
SIRT3,up
HES1,up
MADH6,up
BHLHB2,up
NFATC4,up
CEB3L2,up
CCNE2,down
CCNE1,down
CCNF,down
CDC2,down
CDC6,down
CDC7,down
MCM4,down
MCM2,down
MCM5,down
MCM6,down
MCM10,down
MCM3,down
POLR3K,down
RNAPOL2,down
POLE2,down
RPC32,down
POLD2,down
POLG,down
CHAF1A,down
PFS2,down
DNA2L,down
RFC5,down
RFC3,down
ORC6L,down
RFC2,down
SKP2,down
MAD2L1,down
BOP1,down
ZWINT,down
MPHOSPH9,down
NOLC1,down
PA2G4,down
ASK,down
PRC1,down
NEK4,down
RRM2,down
DHFR,down
CTPS,down
PRPS1,down
UMPS,down
ATIC,down
ADPRT,down
GTPBP4,down
ADPRTL2,down
RRM1,down
MRPS12,down
TSFM,down
RRP4,down
RRS1,down
RPL39,down
ILF3,down
ZNF500,down
MRPL40,down
NOL5A,down
MFN2,down
MRPL46,down
DDX11,down
SNRPA1,down
HNRPU,down
RNU3IP2,down
DDX18,down
SNRPA1,down
RPP20,down
SNAPC5,down
HNRPDL,down
DDX23,down
DHX35,down
SFRS2,down
HNRPD,down
SNRPA1,down
DDX21,down
HNRPDL,down
SNRPD1,down
SNRPD3,down
RNASEP1,down
RPP30,down
PSME3,down
UBE2S,down
UCHL5,down
PSMD11,down
PSME3,down
PSME4,down
USP39,down
USP1,down
MLLT10,down
BARD1,down
BRCA1,down
ELK1,down
FTFAM,down
MAZ,down
PPARD,down
RB1,down
TRIP13,down
TF6M,down
TFAM,down
ID1,down
