Gene,Regulation_in_angiogeneic
SEMAE,up
ITGB4,up
CLTA,up
PHF15,up
FAH,up
STUB1,up
NAPG,up
STXBP1,up
TSP1,up
CAMK2D,up
PIK3R1,up
ARHE,up
LCAT,up
FOS,up
PRODH,up
EST,up
SIPA1L1,up
COL7A1,up
CGI-07,up
NRGN,up
KIAA0322,up
SOD1,down
SURF4,down
PRSS15,down
ZNT217,down
MDH1,down
DARS,down
NDUFB6,down
GTF2A2,down
HMGN4,down
MCM6,down
CKS2,down
RPA3,down
TM2A,down
GA17,down
HNRNPG-T,down
TAF-BETA,down
CDK2AP1,down
POLR2K,down
H2AV,down
SET,down
ATP5O,down
H2AFZ,down
HMBN1,down
DHX15,down
ATP6V1G1,down
GNAI1,down
PSMB1,down
SMYD2,down
HNRAPA2B1,down
GMPS,down
PTP4A2,down
GSCL,down
PFN2,down
GPI,down
GCDH,down
HMG2L,down
CAPA,down
ANXA7,down
PLXNA2,down
KIAA0648,down
KIAA0476,down
