Gene,Regulation in Hypocia
ADM,up
AK3,up
ALDOC,up
ARRDC3,up
BHLHB2,up
BNIP3,up
BNIP3L,up
BTG1,up
C10orf10,up
C10orf75,up
CA9,up
CCNG2,up
CDKN1C,up
CLECSF2,up
CLK1,up
CLK3,up
CNOT8,up
DDIT4,up
DHRS3,up
DSIPI,up
DUSP1,up
E2IG5,up
EDN2,up
EFNA1,up
EFNA3,up
EGLN3,up
ELF3,up
ENO2,up
ERO1L,up
FAM13A1,up
FLJ10134,up
FLJ12953,up
FOS,up
FOSL2,up
FOXD1,up
FOXO3A,up
FUT11,up
FADD45B,up
GOLGIN-67,up
HES1,up
HEY1,up
HIG2,up
HK2,up
IER3,up
IGFBP3,up
INSIG1,up
INSIG2,up
ITGA5,up
JMJD1A,up
JMJD2B,up
LOX,up
LOXL2,up
LRP2BP,up
MAFF,up
MAFK,up
MIG-6,up
MAOBKL2A,up
MUC1,up
MXI1,up
NDRG1,up
NFIL3,up
NOL3,up
P5HA2,up
PAG,up
PBEF1,up
PDK1,up
PFKFB3,up
PFKFB4,up
PGK1,up
PLOD2,up
RAB20,up
RAB40C,up
RAI3,up
RARA,up
SEMA4B,up
SERPINE1,up
SERTAD2,up
SLC3A1,up
SLC2A14,up
SLC2A3,up
SLC6A8,up
STC1,up
STC2,up
TBC1D3,up
TIPARP,up
TPBG,up
TRA1,up
WSB1,up
ZNF292,up
ZNF395,up
C6orf93,down
DBR1,down
EIF5,down
FLJ20249,down
HSPC111,down
HSPC196,down
IFRD1,down
LOC129401,down
MGC4399,down
POLR1B1,down
RFP,down
RIOK1,down
RRS1,down
SOCS4,down
RTFRC,down
