Gene,Upregulation_in_S
HMGB2,up
CDK1,up
NUSAP1,up
UBE2C,up
BIRC5,up
TPX2,up
TOP2A,up
NDC80,up
CKS2,up
NUF2,up
CKS1B,up
MKI67,up
TMPO,up
CENPF,up
TACC3,up
FAM64A,up
SMC4,up
CCNB2,up
CKAP2L,up
CKAP2,up
AURKB,up
BUB1,up
KIF11,up
ANP32E,up
TUBB4B,up
GTSE1,up
KIF20B,up
HJURP,up
CDCA3,up
HN1,up
CDC20,up
TTK,up
CDC25C,up
KIF2C,up
RANGAP1,up
NCAPD2,up
DLGAP5,up
CDCA2,up
CDCA8,up
ECT2,up
KIF23,up
HMMR,up
AURKA,up
PSRC1,up
ANLN,up
LBR,up
CKAP5,up
CENPE,up
CTCF,up
NEK2,up
G2E3,up
GAS2L3,up
CBX5,up
CENPA,up
