Gene,Upregulation_in_S,,,,,,
MCM5,up,,,,,,
PCNA,up,,,,,,
TYMS,up,,,,,,
FEN1,up,,,,,,
MCM2,up,,,,,,
MCM4,up,,,,,,
RRM1,up,,,,,, 
UNG,up,,,,,,
GINS2,up,,,,,,
MCM6,up,,,,,,
CDCA7,up,,,,,,
DTL,up,,,,,,
PRIM1,up,,,,,,
UHRF1,up,,,,,,
MLF1IP,up,,,,,,
HELLS,up,,,,,,
RFC2,up,,,,,,
RPA2,up,,,,,,
NASP,up,,,,,,
RAD51AP1,up,,,,,,
GMNN,up,,,,,,
WDR76,up,,,,,,
SLBP,up,,,,,,
CCNE2,up,,,,,,
UBR7,up,,,,,,
POLD3,up,,,,,,
MSH2,up,,,,,,
ATAD2,up,,,,,,
RAD51,up,,,,,,
RRM2,up,,,,,,
CDC45,up,,,,,,
CDC6,up,,,,,,
EXO1,up,,,,,,
TIPIN,up,,,,,,
DSCC1,up,,,,,,
BLM,up,,,,,,
CASP8AP2,up,,,,,,
USP1,up,,,,,,
CLSPN,up,,,,,,
POLA1,up,,,,,,
CHAF1B,up,,,,,,
BRIP1,up,,,,,,
E2F8,up,,,,,,
