Gene,UpregRIFpos
C4orf48,up
CDKN1A,up
PCSK1N,up
PHLDA3,up
TYMP,up
SNORA76,up
SLC39A7,up
FXYD2,up
RNF19A,up
RHCG,up
SERPINE1,up
GLS,up
RP11-728F11.3,up
MMP24-AS1,up
SPP1,up
AMIGO2,up
ABLIM1,up
PAPPA,up
TANC2,up
C19orf81,up
C17orf89,up
GLIPR1,up
RPS27L,up
PSAP,up
NINJ1,up
SOD2,up
LPCAT1,up
ARL2,up
DDX17,up
C15orf48,up
PLAU,up
GLRX,up
AKR1B1,up
CDH1,up
CITED4,up
TMEM245,up
RFK,up
GRINA,up
TNFAIP8,up
MAP1B,up
TRAM1,up
PRAF2,up
CTSD,up
FAM173A,up
TMEM160,up
CXCL5,up
SAT1,up
PTBP2,up
RPL28,up
ALDH1A1,up
NDUFA10,up
RPS11,up
EEF1A1,up
RPL41,up
POLR2L,down
ATP5J2,down
KRT81,down
PFN1,down
EIF2S2,down
ZNF90,down
HMGB1,down
COX8A,down
COX6A1,down
NUCKS1,down
PRC1,down
EIF4G1,down
COX6A1P2,down
MIF,down
TRMT112,down
TUBA1C,down
DNAJB11,down
DHPS,down
MINOS1,down
NOP56,down
NME1-NME2,down
CRIP1,down
ATP5EP2,down
DHX9,down
HSPE1,down
TIMM10,down
FUS,down
HNRNPA1L2,down
KPNA2,down
CDC20,down
NDUFA6,down
UBE2C,down
TUBB4B,down
AC013449.1,down
TOP2A,down
KIAA0101,down
BIRC5,down
TUBB,down
DTYMK,down
TUBA1B,down
