Gene,UpregRIFpos
C4orf48,up
CDKN1A,up
FXYD2,up
SLC39A7,up
PCSK1N,up
RNF19A,up
C17orf89,up
SNORA76,up
PAPPA,up
TYMP,up
RHCG,up
C19orf81,up
C15orf48,up
PHLDA3,up
MMP24-AS1,up
SERPINE1,up
SPP1,up
LPCAT1,up
MAP1B,up
NINJ1,up
RPS27L,up
RP11-728F11.3,up
PSAP,up
ABLIM1,up
SOD2,up
PLAU,up
TRAM1,up
GLIPR1,up
RFK,up
CITED4,up
GRINA,up
GLS,up
TNFAIP8,up
GLRX,up
KRT10,up
AMIGO2,up
BMP1,up
SAT1,up
ATG13,up
TMEM160,up
TSPO,up
NUPR1,up
AKR1B1,up
RPL9,up
CXCL5,up
PVR,up
NPC2,up
DUSP5,up
CDH1,up
HECTD4,up
PRAF2,up
TMEM245,up
ARL2,up
TM4SF20,up
ALDH1A1,up
BAX,up
PTRF,up
EPS8L2,up
BRI3,up
DHRSX,up
CTSD,up
IGFBP7,up
DDX17,up
RPL28,up
GDF15,up
RPS4X,up
MYL6,up
RPS11,up
EEF1A1,up
ATP5J2,down
POLR2L,down
PFN1,down
ATP5G1,down
COX6A1,down
COX6A1P2,down
MIF,down
COX8A,down
TPX2,down
SERBP1,down
DNAJB11,down
NME1-NME2,down
TRMT112,down
ZMAT2,down
MINOS1,down
CKS1B,down
UBE2S,down
ATP5EP2,down
SPTSSA,down
HSPE1,down
HMGB1,down
MKI67,down
CCDC12,down
NDUFA6,down
TUBA1C,down
DHPS,down
CRIP1,down
CDC20,down
DHX9,down
LSM3,down
KPNA2,down
AC013449.1,down
TIMM10,down
DTYMK,down
PTTG1,down
KIAA0101,down
PRC1,down
BIRC5,down
TUBB4B,down
TUBB,down
TOP2A,down
UBE2C,down
TUBA1B,down
