Gene,Regualtion_in_hypoxia
NIP3L,up
LOX,up
IGFBP3,up
GBE1,up
NDRG1,up
DEC1,up
SERPINE1,up
ITGA5,up
PLOD2,up
PFK,up
PGK1,up
HIG2,up
PLIN2,up
EST,up
SLC6A8,up
ALDOC,up
LDHA,up
VDUP1,up
BIGH3,up
BTG1,up
PGF,up
GPRC5A,up
ALDOA,up
RNASEL,up
CLK1,up
FABP5,up
HK1,up
MUC-1,up
MXI1,up
EST,up
PTGS1,up
GLUT3,up
PIM1,up
BPI,up
SPDEF,up
SLC16A1,up
QSOX1,up
HLA-DQB1,up
EFNA1,up
PPAR,up
GPI,up
PMI,up
CCR4,up
TPI1,up
MT1L,up
TNFAIP3,up
ENO3,up
PIM2,up
TPBG,up
GLRX,up
TPD52,up
CCNG2,up
HUMSIAH,up
KIAA0111,up
PDK3,up
KIAA0397,up
MT-III,up
SERF1A,up
RIOK3,up
POLM,up
CDKN1A,up
IRF6 gene,up
BCL2L2,up
LONP1,up
ARSA,up
COX1,up
CALD1,up
KIAA0032,up
SYT1,up
KIAA0025,up
ARHGAP5,up
FN1,up
ODC,down
GRP78,down
THBS1,down
LDHB,down
PSMA3,down
HSP105,down
DKC1,down
HIF1A,down
UMPS,down
FK506-BP4,down
HSPD1,down
THBS2,down
ART3,down
EST,down
PCYT1B,down
PCYT1A,down
ALDH,down
IARS,down
RRM1,down
