Gene,Regulation_in_hypoxia
LOX,up
SSA1,up
VEGF,up
ITGA2B,up
RASSF1,up
LOC91966,up
NRN1,up
GBE1,up
MAFF,up
HIG2,up
NEFL,up
BHLHB2,up
NDRG1,up
PLOD2,up
GCHFR,up
PCDH10,up
PGF,up
HSPA5,up
HIST1H1C,up
ARMET,up
HIST1H2AC,up
RAB20,up
PPFIA4,up
BNIP3,up
PFKFB4,up
ALDOC,up
E2IG5,up
POS,up
CXCR4,up
PGK1,up
LDHA,up
HOXA13,up
BNIP3L,up
HIST1H2AM,up
HMGCL,up
FMO5,up
CACNA1A,up
CITED2,up
MPRP-1,up
MYOM2,up
PRPRZ1,up
PKIB,up
DECR2,up
GADD45B,up
PKIA,up
SAT,up
HIST2H2BE,up
DUSP1,up
P4HA1,up
RTP801,up
HK2,up
MARS,up
HIST3H2A,up
PBEF1,up
MXI1,up
NPPB,up
