Gene,Regulation_in_Hypoxia
ANGPTL4,up
NDRG1,up
ADM,up
VEGF,up
EGLN1,up
AK3,up
STC1,up
ERO1L,up
IGFBP3,up
PLOD2,up
BHLHB2,up
STC2,up
WASF2,up
LOX,up
P4HA2,up
MX11,up
PTPRF,up
LOXL2,up
ZNF292,up
EPOR,up
ECL6,up
CDK11,up
HIF3A,up
MEF2A,up
TRIO,up
MADD,up
LEPR,up
MCM4,down
MCM5,down
ALDOA,up
ALDOC,up
CTBS,up
ENO1,up
FLJ10986,up
FLJ25070,up
GBE1,up
GENX-3414,up
GPI,up
GYS1,up
HK2,up
LDHA,up
MGC4171,up
MGEA5,up
MR3C1,up
PDK1,up
PFKFB3,up
PFKP,up
SIAT10,up
TPI1,up
ADM,up
ADNTPL2,up
APL,up
CAMLG,up
CD44,up
CD72,up
CSF1,up
F11R,up
FLJ10979,up
IGFBP3,up
IL12A,up
IL1RAP,up
IL7,up
NCK1,up
NFIL3,up
NGFB,up
NR3C1,up
PBEF1,up
PLA2G4A,up
PTX3,up
TNFSF13B,up
ILBP2,up
VEGF,up
CRH,down
IGSF2,down
IL6,down
SLC2A1,up
DELGEF,up
ABI2,up
EEA1,up
EMS1,up
PTEN,up
ADCY8,up
PLA2G4A,up
PRKCM,up
MEF2C,up
CDKN1A,up
NGFB,up
SREBF1,up
CNTNAPI1,up
RALGDS,up
KRAS2,up
NRD1,up
NCK1,up
KADD45A,up
STAT3,up
MPP3,down
MAP3K2,down
CTNNB1,down
THBS1,down
ERBB2,down
HK2,up
PGK1,up
SLC2A3,up
SOD2,up
ANGPTL4,up
ENO2,up
IGFBP3,up
GSY1,up
CEBPD,up
SDC,up
SLC2A1,up
ARNT,up
BHLHB2,up
INSIG2,up
PTPRF,up
MAPT,up
GFPT1,up
ZNF198,up
ACLY,up
LEPR,up
RALGDS,up
VAMP2,up
UBE2B,up
ABL1,up
KRAS2,up
TUB,up
PFKFB3,up
NEK6,up
NCK1,up
STAT3,up
CRH,down
CTNNB1,down
FECH,down
ABL1,up
GADD45A,up
IL7,up
LDHA,up
LOC,up
MEF2A,up
NDRG1,up
NTRK1,up
PAX3,down
SLC2A1,up
STAT3,uo
THBS1,down
TMEFF2,down
TNFAIP8,up
VEGF,up
ABL1,up
ATF3,up
CD44,up
CEBPB,up
CEBPG,up
DNMT1,down
GRIP2,up
MEF2A,up
MMP3,down
NCAM1,up
NDRG1,up
NGFB,up
NR3C1,up
RARA,up
SOD2,up
STAT3,up
TNFAIP8,up
VEGF,up
ATP7A,up
NFIL3,up
PYCR1,up
RAD54L,down
UNC5B,up
ZNF148,up
