Gene,Regulatin_in_Hypoxia
MTX1,up
ADORA2B,up
AK3,up
ALDOA,up
ANGPTL4,up
C20orf20,up
MRPS17,up
PGF,up
PGK1,up
AFARP1,up
ANLN,up
B4GALT2,up
BCAR1,up
BMS1L,up
BNIP3,up
HOMER1,up
HSPC163,up
IMP-2,up
KIAA1393,up
LDHA,up
LDLR,up
MGC2654,up
MNAT1,up
NDRG1,up
NME1,up
P4HA1,up
PFKFB4,up
PGAM1,up
PVR,up
SLC16A1,up
SLC2A1,up
TEAD4,up
TPBG,up
TPI1,up
TUBB2,up
VEGF,up
VEZT,up
AD-003,up
ANKRD9,up
C14orf156,up
C15orf25,up
CA12,up
CA9,up
CDCA4,up
COL4A5,up
CORO1C,up
CTEN,up
DKFZP564D166,up
DPM2,up
EIF2S1,up
GAPD,up
GMFB,up
GSS,up
HES2,up
HIG2,up
IL8,up
KCTD11,up
KRT17,up
Kua,up
LOC149464,up
LOC56901,up
LRP2BP,up
MGC14560,up
MGC17624,up
MGC2408,up
MIF,up
MRPL14,up
NUDT15,up
PAWR,up
PDZK11,up
PLAU,up
PLEKHG3,up
PPARD,up
PPP2CZ,up
PPP4R1,up
PSMA7,up
PSMB7,up
PSMD2,up
PTGFRN,up
PYGL,up
RAN,up
RNF24,up
RNPS1,up
RUVBL2,up
S100A10,up
S100A3,up
SIP1,up
SLC6A10,up
SLC6A8,up
SLCO1B3,up
SMILE,up
SNX24,up
SPTB,up
TFAP2C,up
TIMM23,up
TMEM30B,up
TPD52L2,up
VAPB,up
XPO5,up
