Gene,Regulation_in_hypoxia
LOX,up
CDKN2D,up
INSIG1,up
MYADM,up
LOX,up
DDIT4,up
KEAP1,up
DPSYL2,up
STRBP,up
ADAMTS13,up
CEP250,up
SLCO4A1,up
CRABP2,up
ZFHX1B,up
TCBA1,up
SLC6A8,up
SLC6A8,up
TSC22D2,up
NAV2,up
ENO2,up
PIM3,up
FAM83A,up
HNRPAO,up
PFKP,up
PLOD1,up
JUN,up
PRKCBP1,up
CASC2,up
SEINC5,up
SMEK1,up
PGK1,up
UHRF1,up
PCTK3,up
ARID5B,up
MKNK2,up
FZNF511,up
CNOT2,up
PTGES,up
PRKCB1,up
SYTL2,up
MLL3,up
ENO1,up
KRT8,up
GRP75,up
PPP1R3B,up
DGCR8,up
RAVER2,up
SLC6A10P,up
EHHADH,up
ANGPTL4,up
FANCC,up
DDIT4,up
KIF1B,up
EIF4F3,up
CSRP2,up
FNDC3B,up
USP34,up
LOC645619,up
WSB1,up
PDK1,up
MXI1,up
HIST1H4C,up
SLC6A10P,up
C8orf4,up
DOCK1,up
NDRG1,up
KALRN,up
TncRNA,up
ARL6IP1,up
KIRREL,up
