Gene,Regulation_in_Hypoxia
CXCR4,up
HIG2,up
PPP1R3C,up
ANGPTL4,up
AQP3,up
CXCR4,up
CXCR4,up
ADM,up
ANG,up
SLC2A3,up
STC1,up
HLA-DQB1,up
ZNF395,up
TMEM45A,up
RNASE4,up
STC1,up
CA9,up
LOX,up
LOX,up
ENO2,up
C10orf10,up
LOX,up
STC1,up
P4HA1,up
FAM13A1,up
GAL3ST1,up
ZNF395,up
MT1M,up
HIST2H2AA4,up
SLC2A14,up
NDRG1,up
HLA-DQB1,up
FGB,up
SLC2A3,up
SLC2A5,up
COL11A1,up
CKB,up
SPAG4,up
FAM13A1,up
RORA,up
FGB,up
TMCC1,up
SLC2A3,up
RRAD,up
TSC22D3,up
SLC2A1,up
RRAD,up
SLC2A3,up
KIAA1466,up
PGK1,up
HIST1H2BD,up
LOXL2,up
C10orf10,up
RNASET2,up
BNIP3,up
ALDOC,up
KCNK3,up
PLOD2,up
HIST2H2AA3,up
EFNA1,up
GYS1,up
SERPINE1,up
ANG,up
CIDEB,up
MXI1,up
TNS1,up
ERO1L,up
RNASET2,up
HIST1H2AC,up
CDA,up
ITPR1,up
SERPINE1,up
PCTK3,up
TSC22D3,up
C1orf38,up
VEGFA,up
C1orf38,up
CSRP2,up
PLAGL1,up
PGK1,up
GLUL,up
ELL2,up
SERPINA3,up
COL11A1,up
DDIT4,up
MALL,up
NOL3,up
INSIG2,up
NOL3,up
STBD1,up
GLUL,up
LOXL2,up
BNIP3,up
PMP22,up
PLOD2,up
PPP1R13L,up
CEBPD,up
SERPING1,up
DUSP1,up
PLAGL1,up
LBP,up
RAD54B,up
AQP3,up
FGF14,up
VEGFA,up
CA12,up
VEGFA,up
AP1G1,up
CEBPD,up
NOL3,up
IFITM2,up
P4HA2,up
RAB20,up
HLA-DQB1,up
VEGFA,up
PGK1,up
LBP,up
TMEM47,up
GBE1,up
JMJD1A,up
BNIP3L,up
GLUL,up
SSPN,up
ZFP36,up
TMEM47,up
DUSP1,up
BHLHB2,up
BNIP3L,up
GBP2,up
HLA-DQB1,up
SSPN,up
PTEN,up
SLC16A3,up
CSRP2,up
TMCC1,up
SSBP2,up
SLCO2B1,up
KLF9,up
BTG1,up
IFITM1,up
HNRPD,up
YEATS2,up
LTBP3,up
PPFIA4,up
C3orf28,up
VKORC1,up
HCFC1R1,up
OBSL1,up
HIST1H2BD,up
MPI,up
JUNB,up
PFKP,up
SLC25A36,up
SMPDL3A,up
PDK1,up
EFEMP2,up
JAM2,up
HCFC1R1,up
POU5F1P4,up
PLOD1,up
SLC25A36,up
PCDH21,up
CD24,up
SSBP2,up
NRN1,up
ANKZF1,up
CDC2L6,up
GPI,up
OBSL1,up
ZNF292,up
SH3BP2,up
EFEMP2,up
PER1,up
FAM13A1,up
C4orf19,up
NPEPPS,up
GAD1,up
LGALS8,up
POU5F1P3,up
C1R,up
TGFA,up
BCKDK,up
FSTL3,up
CRABP2,up
TBC1D8,up
ABCB6,up
SLC2A5,up
GOLGA8G,up
PDZK1IP1,up
SERPINA5,up
ENPEP,up
CXCR7,up
JMJD2B,up
SEPP1,up
DAPK1,up
PFKL,up
TNS1,up
CA11,up
SIPA1L1,up
PNMA2,up
PDK3,up
SLCO2B1,up
MUC1,up
RALGDS,up
OPN3,up
MT1X,up
ITPR1,up
PEX11A,up
HOXC10,up
NPEPPS,up
VLDLR,up
EPOR,up
proto-LBC,up
MOAP1,up
RLF,up
TIPARP,up
JMJD2B,up
HLA-DQB1,up
TFRC,down
PSPHL,down
TFRC,down
C12orf5,down
PMAIP1,down
MARS,down
NUP98,down
OSTM1,down
CRY1,down
MOCOS,down
KPNA2,down
CTPS,down
SFRS3,down
PSPH,down
NOL5A,down
SRP19,down
EXOSC8,down
WARS,down
MARS,down
CHCHD3,down
CYCS,down
MGC14376,down
HNRPAB,down
RCBTB1,down
DSCR2,down
HSPH1,down
GOT1,down
PAK1IP1,down
PLK2,down
ODC1,down
GLRX2,down
PNO1,down
NRG1,down
PAIP1,down
CYR61,down
EBNA1BP2,down
NARG1,down
PFDN2,down
CHUK,down
HSPA4,down
JTV1,down
TMEM177,down
C1QBP,down
SRPRB,down
RNASEH1,down
PARP12,down
SNAPC5,down
CCT6A,down
PSME3,down
JTV1,down
PSMA4,down
GNPDA1,down
RFK,down
FLJ20489,down
HSPA4,down
PSME3,down
RNASEH1,down
RPP40,down
ATG3,down
MICALL1,down
PPID,down
POLR3K,down
GTPBP4,down
MRPS10,down
YKT6,down
PSMD1,down
PSME3,down
CSE1L,down
PAIP1,down
CCNJ,down
ZNF271,down
TUBG1,down
SLC25A32,down
BAG2,down
CCT6A,down
DKC1,down
KPNA4,down
SRM,down
LRRC59,down
RRAS2,down
C5orf28,down
PRKDC,down
ETF1,down
GHITM,down
EIF2S1,down
C16orf61,down
SFRS2B,down
COQ10B,down
NQO1,down
CYR61,down
TXNDC14,down
KPNA1,down
RRP15,down
PSME3,down
CIAPIN1,down
LSG1,down
MRPL19,down
RAN,down
C1QBP,down
ATIC,down
SAE1,down
NCBP1,down
RUVBL1,down
NETO2,down
GARS,down
RFX5,down
EIF2S1,down
ORC5L,down
C5orf22,down
ADAT1,down
ATR,down
NOLC1,down
HYOU1,down
LOC730107,down
SFRS3,down
DNAJC10,down
FLJ20489,down
HSPA4,down
WDR43,down
PDSS1,down
EIF3J,down
IRAK1,down
RBM12,down
C7orf28B,down
DNAJC10,down
IDH3A,down
TOR3A,down
SLC35B1,down
NUP93,down
MGC4172,down
GCSH,down
C14orf169,down
COX5A,down
HSPA4,down
SLC25A44,down
PAQR3,down
SFRS1,down
DNAJC6,down
NOMO3,down
ATP1B3,down
PRMT3,down
GPS2,down
FLJ11506,down
SEH1L,down
GLRX3,down
UROS,down
HSPC111,down
UTP18,down
PPM1B,down
EEF1E1,down
C6orf66,down
PSMD14,down
GTF3A,down
EIF5A,down
GART,down
SAP18,down
TIPIN,down
POLR3E,down
COX4NB,down
PSG1,down
NOLC1,down
ANXA7,down
HSPC111,down
BOP1,down
WDR77,down
TMEM126B,down
MRPL34,down
COPS3,down
MTHFD1,down
ZNF410,down
FXN,down
KLC2,down
PA2G4,down
H2AFY,down
UBP1,down
ZC3H15,down
CIAPIN1,down
CCT3,down
YKT6,down
FLJ20489,down
BMP2K,down
OGFOD1,down
AMOTL2,down
WDR77,down
PQBP1,down
GPR172A,down
SEC23B,down
PPID,down
ATP6V0E2,down
APIP,down
ASF1A,down
SYNC1,down
NEK4,down
PRKDC,down
RAN,down
ICMT,down
FAM49A,down
DDX21,down
AK1,down
GTPBP4,down
TP53,down
SRPR,down
MICAL2,down
KPNA1,down
SFRS6,down
H2AFY,down
ME2,down
CCT5,down
PSMA7,down
C16orf24,down
ARL4C,down
KPNA3,down
ACTR1A,down
HOMER3,down
DDX19A,down
KPNA1,down
TIMM23,down
SSR3,down
MTCH2,down
NOV,down
MFN1,down
PSG4,down
HCCS,down
HCCS,down
NIPA2,down
ATP6V0A2,down
NDUFS1,down
ARPC5L,down
ZC3H14,down
BMP2K,down
DDX5,down
SLC25A11,down
HSP90AA1,down
C1orf181,down
DLG1,down
RGS20,down
SLC25A44,down
STX3,down
RFK,down
UXS1,down
FARSA,down
PSME2,down
FASTKD5,down
ABCE1,down
DHX9,down
PI4K2A,down
SMARCA4,down
ATP6V0D1,down
CAD,down
NPM3,down
ELMO2,down
C18orf8,down
UBE2G2,down
KIF5B,down
ARF4,down
PMM2,down
MPP6,down
CYP20A1,down
MICAL2,down
NIP7,down
MFN2,down
LARP4,down
IMP4,down
C14orf108,down
NUDT9,down
ALDH1B1,down
MRPL12,down
ELMO2,down
NARS,down
DENR,down
GOT2,down
C20orf24,down
ACAD8,down
PAPOLA,down
