Gene,Response to hypoxia
PGAM1,up
GARS,up
BNIP3,up
LDHA,up
P4HA1,up
GPI,up
NDRG1,up
GAPDH,up
DDIT4,up
VEGF,up
PFKP,up
LOC388642,up
PGK1,up
ENO1,up
DSCR2,up
SLC16A3,up
PRDX4,up
SLC2A1,up
AK3L1,up
GOLT1B,up
RANBP1,up
RALA,up
RIS1,up
SEC61G,up
ENY2,up
MRPS17,up
MTFR1,up
MRPL15,up
ANKRD37,up
CTSL2,up
SLC7A5,up
MMP1,up
PSMB5,up
TMEM70,up
IMPAD1,up
PDIA6,up
MRPL13,up
IL8,up
MTCH2,up
PSMA5,up
KIF20A,up
ATP1B3,up
ATP5G3,up
UBE2S,up
COX4NB,up
RBM35A,up
EIF4EBP1,up
TCEB1,up
NP,up
CHCHD2,up
SF3B5,up
NUP93,up
RNASEH2A,up
C6orf129,up
LSM4,up
IMPA2,up
MTHFD2,up
EIF2S2,up
NFIL3,up
GMPS,up
SRD5A1,up
PSMD8,up
YEATS2,up
C16orf61,up
KIF18A,up
MGC40489,up
LRRC59,up
HCCS,up
PLOD1,up
SHMT2,up
