Gene,Regulation_in_hypoxia
TMEM45A,up
AKAP12,up
ALDOC,up
JMJD1A,up
DDIT4,up
P4HA1,up
SEC24A,up
ANKRD37,up
RSBN1,up
STC2,up
PGK1,up
SAMD12,up
CRKL,up
EDEM3,down
GAPDH,up
TRIM9,up
GOSR2,up
MIF,up
ASPH,up
WDR33,up
DHX40,up
HIG2,up
KLF10,up
PPP1R3C,up
R3HDM1,down
RARA,up
PGRMC2,down
ZWILCH,down
TPCN1,down
WSB1,up
SPAG4,up
GYS1,up
RRP9,down
SLC25A28,down
NTRK2,up
NARF,up
ASCC1,up
UFM1,up
TXNIP,up
MGAT2,down
VDAC1,up
JMJD2B,up
SEC61G,up
SRP19,down
ERO1L,up
PBEF1,up
JMJD2C,up
LOX,up
SNRPD1,down
RASSF4,up
P4HA2,up
BHLHB3,up
C19orf7,down
PPP1R10,down
GOLGA1,up
INSIG2,up
MRPS12,down
PIM1,up
SOX6,down
PJA2,up
RRAGD,up
GRK6,down
C3orf28,up
ATF7IP,down
MXI1,up
XPNPEP1,up
C1orf51,up
TMF1,up
CLINT1,down
ILF3,down
ZNF710,up
CNOT8,up
CCNB1,down
FGFR1OP2,up
SLC7A6,down
UGCGL1,down
NDRG1,up
HES1,up
CA12,up
MED14,up
PPP1R13L,up
C1orf119,down
GANAB,down
EDN1,up
STIP1,down
TUBG1,down
C12orf11,up
CXCR4,up
AVPI1,up
DDIT3,up
TTC7A,down
SEPHS1,down
BCL2L11,up
ANKHD1,up
NR3C1,up
ALDH4A1,down
CDCA3,down
NF2,down
GATAD2B,down
COPZ1,down
BNIP3,up
ZBTB45,down
WWOX,down
CYCS,down
TAOK2,down
KIAA0100,down
HCFC1R1,up
PGAM1,up
SLC35E1,up
CBLB,up
ARHGEF9,down
ATF3,up
PPM1B,down
EED,up
STAT3,up
RANGAP1,down
GADD45B,up
NXF1,down
PLOD1,up
LDHA,up
PTPLAD1,down
TMEM165,up
SRPRB,down
MOV10,down
MXD1,up
UBE2S,down
RNF165,up
PSD3,up
PEO1,down
ATP6V1D,down
CAD,down
STARD4,up
MYLK,down
JMJD6,up
TMEM70,down
FGR,down
DERL1,up
EPRS,up
SLC16A1,up
TMEM39A,up
PPME1,up
S100A11,down
CLK3,up
MRPL4,down
CA9,up
DEPDC1B,down
PA2G4,down
DCUN1D4,up
GLCCI1,down
FH,down
MFSD2,up
SERGEF,up
ACTR1A,down
BRMS1,down
TIPARP,up
STARD3NL,down
CRH,up
OXSR1,up
C14orf169,down
PTGS2,up
IKIP,up
CRISPLD1,down
SERPINE1,up
PHF12,down
BTAF1,up
RAB8B,up
IVNS1ABP,up
EIF2B3,down
CLPB,up
TFDP2,down
NRN1,up
SSRP1,up
ABCF2,down
EFNA1,up
FLJ41603,up
LYRM5,down
CALU,down
P4HB,up
TMEFF1,up
NUP93,down
C20orf111,up
TGFBR1,up
EVI1,down
RBPJ,up
TRAK2,down
ARHGEF1,down
FAM76A,down
C17orf56,down
ISCU,down
SEC23A,down
ELOVL5,down
NUP98,down
SLC31A1,up
SLC25A44,down
GPT2,up
TSEN2,down
PDIA5,up
INHA,up
VAPB,up
ATP5G1,down
C11orf24,down
NAGK,down
SFXN3,up
RAB20,up
TRIM73,down
NEK6,up
HK1,up
LUC7L2,up
SQLE,up
DPYSL2,up
ALG6,down
TMEM4,down
BCL11A,down
PIK3R3,down
PNMA2,up
ADAT1,down
EDEM1,up
PDCD11,down
TXNDC10,down
CCNE1,down
PRDM4,down
MRPL33,down
CHAC1,down
RASSF2,up
COQ10B,down
SERF2,down
EBP,down
SFRS1,down
FUS,down
TRIM27,down
GFPT1,down
PLOD2,up
DNAJC11,down
PIGF,down
GMPPB,down
RYBP,up
HLX,down
TNIK,down
C20orf27,down
CANX,up
FBXO42,up
BBX,up
ENOPH1,down
ELF1,up
GCHFR,up
FAM80A,up
IKZF5,down
KIAA0082,down
SLC6A6,up
C1orf77,down
SOAT1,down
CCDC131,up
LYSMD3,up
SLC25A13,down
DLG7,down
PELO,up
FAM98A,down
CTPS,down
GPR155,up
PAPSS2,up
C20orf74,up
ZBTB25,up
BCL9L,down
RGS1,up
LOC283755,down
FBXW7,down
NUCB1,down
EWSR1,down
TDRD7,down
SRRM2,up
STX16,down
GAD1,up
VAMP1,up
YTHDF2,down
KLHL14,down
TTC17,down
CAST,up
PIGA,up
ZNF148,up
SYT17,down
PIP5K3,down
ZNF667,up
CD46,up
EIF2S1,down
SND1,down
RBBP7,down
BIRC2,up
MLSTD2,down
TMPO,down
LCORL,up
BAT2,down
BAZ1B,down
ARF4,down
LEPREL1,up
GOLT1B,up
MAP3K14,down
RAB10,down
VLDLR,up
PSMD14,down
ZFP161,down
PSMC4,down
ENO1,up
DDX49,down
NRD1,down
PSIP1,down
NLN,down
RQCD1,down
TXNDC14,down
FDFT1,down
AIFM1,down
UBE2Q1,down
APPBP2,down
UBTF,down
G3BP1,down
CKS2,down
ZNF652,down
CXorf40A,up
LRRC20,down
NAPA,down
ACBD3,up
ARHGAP25,down
AK2,up
RAB6IP1,up
DPY19L2,up
ZMIZ1,up
NSMAF,down
TFAM,down
SFXN2,down
HIC2,down
FAM13A1,up
FAM126A,down
DNAJC10,up
KLHDC1,down
ARMC7,down
MGC71993,down
PXN,down
SIX5,down
WWP2,down
C22orf16,down
GOLGA8B,up
TRIM2,up
UCP2,down
KLHL24,up
MPI,up
C1GALT1C1,down
ELAVL1,down
NDUFB3,down
BHLHB2,up
GTF2F2,down
COX17,down
ANAPC13,down
PTPN12,up
RBM6,down
PSME3,down
TPD52,up
ELMO1,up
RNF123,down
DARS,up
CNOT3,up
SNCA,down
MORF4L2,up
SERP1,down
SNRP70,down
TFAP2A,down
ACAD11,up
HYOU1,down
SLC35B3,down
HEY1,up
SLC4A2,down
NUPL1,up
FNDC3B,up
SLC39A10,down
ZDHHC9,up
GOLGB1,up
CYR61,down
CASP8AP2,down
DNAJC13,down
PDK4,down
LSP1,up
PNRC1,up
CABC1,up
ACBD5,up
FKBP7,down
C9orf3,down
TREX2,down
ZNF689,down
USP42,down
HNRPM,down
MCOLN2,down
ARRB1,down
ITGB5,down
PTPN13,down
