Gene,Response_in_Hypocia
ANGPTL4,up
EDN2,up
KRTHA7,up
PCK1,up
LOX,up
PTGS1,up
OLFML2A,up
NPPB,up
SERTAD2,up
IL2RG,up
ADM,up
IGFBP3,up
RORA,up
GAD1,up
ROPN1L,up
GPR109B,up
EGLN3,up
PFKFB4,up
ARNT2,up
MALL,up
LOCL2,up
MB,up
RAC2,up
NDRG1,up
WFIKKN1,up
NOG,up
ASB2,up
ANKRD37,up
CARD15,up
KRTAP3-1,up
ENO2,up
ICAM5,up
RNF183,up
TMEM61,up
SERPINB7,up
FLJ23191,up
EBI3,up
FLJ40722,up
LOC339240,up
SLC2A14,up
MXI1,up
IL1R2,up
GAL3ST1,up
CAV3,up
GJB2,up
RRAD,up
C20orf46,up
FUT11,up
B3GNT4,up
EDG6,up
EVA1,up
FAM13A1,up
GPR155,up
SLC2A3,up
PLAUR,up
CDCP1,up
CTHRC1,up
TMEM45A,up
PRTN3,up
CA9,up
SPINK4,up
RASSF2,up
IRF7,up
ALOX15B,up
DKFZp686I15217,up
CLEC2B,up
TNFRSF10D,up
FA2H,up
ARRDC3,up
MAP3K15,up
P4HA1,up
RIPK4,up
SDC4,up
SPAG4,up
CLEC2B,up
JUN,up
SERPINE1,up
TLE6,up
HEY1,up
PIM2,up
FLJ23867,up
SCN4B,up
ERO1L,up
EPDGFRB,up
EFNA1,up
SPRY1,up
ARID5A,up
RNASE4,up
FAM77C,up
PLOD2,up
MLLT3,up
FAM63A,up
MICLA3,up
CACNG6,up
C3orf28,up
SLC6A6,up
BNIP3L,up
NR1D1,up
PI5F1,up
FLJ30901,up
CAV1,up
MYO7B,up
ZNF218,up
HK2,up
IL1B,up
RIS1,up
TMEPAI,up
SH3PXD2B,up
KCTD11,up
GPA33,up
AIM1L,up
SNAI1,up
DKFZp586D0919,up
GBP2,up
EGFR,up
CNOT7,up
SMTN,up
CCL28,up
PGK1,up
FAM110C,up
ANGPTL4,up
EGLN1,up
WIRE,up
PPP2R5B,up
C17orf55,up
NGLY1,up
P2RY2,up
GLIPR1,up
PYGL,up
PPBP,up
PTGS2,up
STON1,up
SLC2A14,up
HOXA4,up
LOC401152,up
LOC645619,up
QSCN6,up
CCNG2,up
LOC389458,up
GPRC5A,up
MGC21644,up
NRG4,up
ALDOC,up
ALC1A3,up
FMA20C,up
PSIP1,up
PTTG1IP,up
FLJ36748,up
ACADSB,up
CCL20,up
VEGFC,up
ARHGAP22,up
ISG20,up
TLE6,up
JMJD1A,up
PHF21A,up
JKCNJ12,up
MAPP,up
LOC401152,up
ELA2,up
CCDC52,up
P4HA2,up
WDR54,up
ITGB4,up
AK3L1,up
ZFP36,up
PRR7,up
HAB1,up
MI1G,up
ATP1B1,up
SHANK3,up
BCL3,up
FLJ43855,up
P4HA2,up
MGC17624,up
TFPI,up
PDK1,up
TIPARP,up
WDR45L,up
PAQR5,up
S100A10,up
IL1RAP,up
ZNF395,up
FGD6,up
C18orf19,up
DKFZo667C1617,up
GSTM1,up
LOC344595,down
GSTA5,down
CDO1,down
PAH,down
PAQR9,down
BCL2,down
MYPN,down
RASAL2,down
NOS2A,down
ACSM2,down
KLB,down
PTHB1,down
LOC400566,down
MAT1A,down
HCP1,down
RRS1,down
EXOSC6,down
LOC285733,down
GP2,down
GPATC4,down
KIAA0953,down
ALDH1A1,down
BEX1,down
NUP98,down
FAM80B,down
EPB41L3,down
ANKRD38,down
TMEM16B,down
SULT2A1,down
DKFZp547E087,down
SLC43A1,down
SPSB2,down
FGF21,down
SAA4,down
ASB7,down
SLC22A4,down
CD83,down
EMILIN1,down
NOL5A,down
RSPO3,down
APOB,down
ALPK2,down
Cxorf39,down
RCL1,down
CTPS,down
UCRC,down
FAM50B,down
RAD1,down
MLXIPL,down
EFEMP1,down
ZBTB9,down
TMPRSS5,down
ANKRD32,down
HSPBAP1,down
